|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
312.0|41730.0|AK_72|AC_138|2200.0|1.0|238.0|0.0|5.0|5.0|0.0|0.0|0.0|5.0|6.0|2.0|3.0|0.0|0.0|0.0|47.0|1.0|
261.0|41730.0|AK_72|AC_138|2215.0|1.0|198.0|1.0|4.0|5.0|0.0|0.0|0.0|2.0|2.0|1.0|3.0|0.0|1.0|0.0|44.0|0.0|
255.0|41730.0|AK_72|AC_138|2230.0|1.0|192.0|1.0|3.0|2.0|0.0|0.0|0.0|8.0|3.0|0.0|5.0|0.0|0.0|1.0|40.0|0.0|
208.0|41730.0|AK_72|AC_138|2245.0|1.0|151.0|2.0|7.0|0.0|0.0|0.0|0.0|8.0|5.0|0.0|2.0|2.0|1.0|2.0|28.0|0.0|
143.0|41730.0|AK_72|AC_138|2300.0|1.0|107.0|0.0|8.0|2.0|0.0|0.0|0.0|1.0|3.0|4.0|2.0|1.0|0.0|0.0|15.0|0.0|
145.0|41730.0|AK_72|AC_138|2315.0|1.0|103.0|0.0|13.0|1.0|0.0|0.0|0.0|2.0|3.0|1.0|3.0|0.0|2.0|2.0|15.0|0.0|
111.0|41730.0|AK_72|AC_138|2330.0|1.0|76.0|0.0|11.0|0.0|0.0|0.0|0.0|5.0|2.0|1.0|2.0|0.0|0.0|0.0|12.0|2.0|
89.0|41730.0|AK_72|AC_138|2345.0|1.0|62.0|0.0|9.0|1.0|0.0|0.0|0.0|1.0|1.0|1.0|4.0|0.0|0.0|0.0|9.0|1.0|
64.0|41730.0|AK_72|AC_138|0.0|1.0|46.0|0.0|2.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|3.0|0.0|0.0|2.0|8.0|0.0|
56.0|41730.0|AK_72|AC_138|15.0|1.0|41.0|0.0|1.0|0.0|0.0|0.0|0.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|9.0|0.0|
64.0|41730.0|AK_72|AC_138|30.0|1.0|45.0|0.0|2.0|1.0|0.0|0.0|0.0|4.0|1.0|0.0|5.0|0.0|0.0|0.0|6.0|0.0|
42.0|41730.0|AK_72|AC_138|45.0|1.0|34.0|0.0|2.0|0.0|0.0|0.0|0.0|2.0|2.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
48.0|41730.0|AK_72|AC_138|100.0|1.0|38.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|2.0|0.0|1.0|2.0|3.0|0.0|
