|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
425.0|41715.0|AK_30|AC_53|2200.0|1.0|229.0|2.0|0.0|6.0|0.0|0.0|0.0|8.0|0.0|4.0|16.0|1.0|2.0|5.0|151.0|1.0|
340.0|41715.0|AK_30|AC_53|2215.0|1.0|187.0|2.0|0.0|5.0|0.0|0.0|0.0|2.0|0.0|2.0|23.0|5.0|0.0|3.0|108.0|3.0|
272.0|41715.0|AK_30|AC_53|2230.0|1.0|153.0|1.0|2.0|3.0|0.0|0.0|0.0|6.0|0.0|1.0|20.0|7.0|0.0|5.0|74.0|0.0|
176.0|41715.0|AK_30|AC_53|2245.0|1.0|109.0|0.0|1.0|2.0|0.0|0.0|0.0|1.0|0.0|0.0|13.0|12.0|4.0|2.0|32.0|0.0|
138.0|41715.0|AK_30|AC_53|2300.0|1.0|84.0|0.0|3.0|0.0|0.0|0.0|0.0|2.0|0.0|1.0|13.0|11.0|0.0|0.0|23.0|1.0|
131.0|41715.0|AK_30|AC_53|2315.0|1.0|74.0|0.0|2.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|16.0|6.0|1.0|5.0|25.0|0.0|
113.0|41715.0|AK_30|AC_53|2330.0|1.0|72.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|9.0|5.0|0.0|7.0|18.0|0.0|
103.0|41715.0|AK_30|AC_53|2345.0|1.0|61.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|22.0|1.0|1.0|4.0|12.0|0.0|
77.0|41715.0|AK_30|AC_53|0.0|1.0|41.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|17.0|2.0|3.0|0.0|11.0|2.0|
85.0|41715.0|AK_30|AC_53|15.0|1.0|40.0|0.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|2.0|15.0|3.0|3.0|4.0|15.0|0.0|
54.0|41715.0|AK_30|AC_53|30.0|1.0|30.0|1.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0|1.0|1.0|5.0|5.0|0.0|
59.0|41715.0|AK_30|AC_53|45.0|1.0|38.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|9.0|0.0|1.0|1.0|8.0|0.0|
61.0|41715.0|AK_30|AC_53|100.0|1.0|27.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|24.0|2.0|0.0|3.0|5.0|0.0|
50.0|41715.0|AK_30|AC_53|115.0|1.0|29.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|11.0|0.0|1.0|4.0|3.0|0.0|
34.0|41715.0|AK_30|AC_53|130.0|1.0|19.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|7.0|0.0|2.0|2.0|3.0|0.0|
42.0|41715.0|AK_30|AC_53|145.0|1.0|21.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|2.0|13.0|0.0|0.0|2.0|2.0|0.0|
33.0|41715.0|AK_30|AC_53|200.0|1.0|18.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|7.0|0.0|0.0|1.0|5.0|0.0|
43.0|41715.0|AK_30|AC_53|215.0|1.0|23.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|2.0|9.0|1.0|2.0|2.0|3.0|0.0|
52.0|41715.0|AK_30|AC_53|230.0|1.0|22.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|17.0|1.0|0.0|8.0|3.0|1.0|
38.0|41715.0|AK_30|AC_53|245.0|1.0|19.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|10.0|0.0|1.0|6.0|1.0|0.0|
46.0|41715.0|AK_30|AC_53|300.0|1.0|19.0|0.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|1.0|10.0|6.0|0.0|4.0|3.0|0.0|
49.0|41715.0|AK_30|AC_53|315.0|1.0|27.0|0.0|0.0|1.0|0.0|0.0|0.0|3.0|0.0|1.0|8.0|4.0|0.0|4.0|1.0|0.0|
48.0|41715.0|AK_30|AC_53|330.0|1.0|29.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|6.0|7.0|0.0|4.0|2.0|0.0|
52.0|41715.0|AK_30|AC_53|345.0|1.0|21.0|0.0|2.0|1.0|0.0|0.0|0.0|2.0|0.0|1.0|12.0|2.0|4.0|5.0|2.0|0.0|
77.0|41715.0|AK_30|AC_53|400.0|1.0|35.0|1.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|18.0|3.0|4.0|9.0|4.0|1.0|
72.0|41715.0|AK_30|AC_53|415.0|1.0|39.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|13.0|3.0|1.0|5.0|6.0|0.0|
84.0|41715.0|AK_30|AC_53|430.0|1.0|46.0|1.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|0.0|12.0|7.0|1.0|8.0|6.0|0.0|
136.0|41715.0|AK_30|AC_53|445.0|1.0|60.0|0.0|0.0|2.0|0.0|0.0|0.0|9.0|1.0|1.0|26.0|6.0|0.0|11.0|20.0|0.0|
157.0|41715.0|AK_30|AC_53|500.0|1.0|71.0|1.0|0.0|5.0|0.0|0.0|0.0|14.0|1.0|0.0|26.0|9.0|2.0|12.0|13.0|3.0|REVISADO IGUAL AL FORMATO
264.0|41715.0|AK_30|AC_53|515.0|1.0|140.0|1.0|1.0|6.0|0.0|0.0|0.0|23.0|0.0|3.0|36.0|11.0|0.0|6.0|31.0|6.0|REVISADO IGUAL AL FORMATO
471.0|41715.0|AK_30|AC_53|530.0|1.0|317.0|1.0|0.0|14.0|0.0|0.0|0.0|29.0|0.0|2.0|37.0|7.0|5.0|5.0|45.0|9.0|REVISADO IGUAL AL FORMATO
639.0|41715.0|AK_30|AC_53|545.0|1.0|515.0|0.0|1.0|10.0|0.0|0.0|0.0|22.0|0.0|3.0|26.0|6.0|2.0|2.0|48.0|4.0|REVISADO IGUAL AL FORMATO
638.0|41715.0|AK_30|AC_53|600.0|1.0|452.0|4.0|3.0|10.0|0.0|0.0|0.0|30.0|0.0|9.0|32.0|5.0|1.0|2.0|79.0|11.0|REVISADO IGUAL AL FORMATO
