KR_68B|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
7.0|41734.0|KR_68B|AC_24_Y_AC_24A|415.0|1.0|6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|
5.0|41734.0|KR_68B|AC_24_Y_AC_24A|430.0|1.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
2.0|41734.0|KR_68B|AC_24_Y_AC_24A|445.0|1.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
7.0|41734.0|KR_68B|AC_24_Y_AC_24A|500.0|1.0|6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|
15.0|41734.0|KR_68B|AC_24_Y_AC_24A|515.0|1.0|14.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|
13.0|41734.0|KR_68B|AC_24_Y_AC_24A|530.0|1.0|12.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|
19.0|41734.0|KR_68B|AC_24_Y_AC_24A|545.0|1.0|18.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|
31.0|41734.0|KR_68B|AC_24_Y_AC_24A|600.0|1.0|29.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|
32.0|41734.0|KR_68B|AC_24_Y_AC_24A|615.0|1.0|28.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|3.0|
36.0|41734.0|KR_68B|AC_24_Y_AC_24A|630.0|1.0|30.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|4.0|
30.0|41734.0|KR_68B|AC_24_Y_AC_24A|645.0|1.0|29.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|
47.0|41734.0|KR_68B|AC_24_Y_AC_24A|700.0|1.0|43.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|1.0|0.0|
47.0|41734.0|KR_68B|AC_24_Y_AC_24A|715.0|1.0|42.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|2.0|
44.0|41734.0|KR_68B|AC_24_Y_AC_24A|730.0|1.0|41.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|
64.0|41734.0|KR_68B|AC_24_Y_AC_24A|745.0|1.0|52.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|7.0|2.0|
61.0|41734.0|KR_68B|AC_24_Y_AC_24A|800.0|1.0|54.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|2.0|
65.0|41734.0|KR_68B|AC_24_Y_AC_24A|815.0|1.0|57.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|6.0|0.0|
68.0|41734.0|KR_68B|AC_24_Y_AC_24A|830.0|1.0|64.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|2.0|
66.0|41734.0|KR_68B|AC_24_Y_AC_24A|845.0|1.0|58.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|6.0|2.0|
79.0|41734.0|KR_68B|AC_24_Y_AC_24A|900.0|1.0|70.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|7.0|1.0|
74.0|41734.0|KR_68B|AC_24_Y_AC_24A|915.0|1.0|64.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|7.0|1.0|
70.0|41734.0|KR_68B|AC_24_Y_AC_24A|930.0|1.0|61.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|0.0|6.0|0.0|
82.0|41734.0|KR_68B|AC_24_Y_AC_24A|945.0|1.0|72.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|6.0|2.0|
67.0|41734.0|KR_68B|AC_24_Y_AC_24A|1000.0|1.0|58.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|7.0|0.0|
60.0|41734.0|KR_68B|AC_24_Y_AC_24A|1015.0|1.0|57.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|2.0|0.0|
84.0|41734.0|KR_68B|AC_24_Y_AC_24A|1030.0|1.0|83.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|
93.0|41734.0|KR_68B|AC_24_Y_AC_24A|1045.0|1.0|85.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|5.0|1.0|
79.0|41734.0|KR_68B|AC_24_Y_AC_24A|1100.0|1.0|74.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|4.0|0.0|
67.0|41734.0|KR_68B|AC_24_Y_AC_24A|1115.0|1.0|63.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|
96.0|41734.0|KR_68B|AC_24_Y_AC_24A|1130.0|1.0|86.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|8.0|0.0|
72.0|41734.0|KR_68B|AC_24_Y_AC_24A|1145.0|1.0|72.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
86.0|41734.0|KR_68B|AC_24_Y_AC_24A|1200.0|1.0|81.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|
112.0|41734.0|KR_68B|AC_24_Y_AC_24A|1215.0|1.0|102.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|8.0|1.0|
94.0|41734.0|KR_68B|AC_24_Y_AC_24A|1230.0|1.0|86.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|6.0|1.0|
90.0|41734.0|KR_68B|AC_24_Y_AC_24A|1245.0|1.0|78.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|10.0|2.0|
110.0|41734.0|KR_68B|AC_24_Y_AC_24A|1300.0|1.0|98.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|11.0|1.0|
75.0|41734.0|KR_68B|AC_24_Y_AC_24A|1315.0|1.0|66.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0|1.0|
106.0|41734.0|KR_68B|AC_24_Y_AC_24A|1330.0|1.0|92.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|7.0|6.0|
88.0|41734.0|KR_68B|AC_24_Y_AC_24A|1345.0|1.0|80.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|1.0|
72.0|41734.0|KR_68B|AC_24_Y_AC_24A|1400.0|1.0|66.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|3.0|2.0|
80.0|41734.0|KR_68B|AC_24_Y_AC_24A|1415.0|1.0|70.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|1.0|0.0|0.0|0.0|7.0|0.0|
65.0|41734.0|KR_68B|AC_24_Y_AC_24A|1430.0|1.0|61.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|3.0|0.0|
75.0|41734.0|KR_68B|AC_24_Y_AC_24A|1445.0|1.0|66.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|2.0|0.0|0.0|0.0|6.0|0.0|
74.0|41734.0|KR_68B|AC_24_Y_AC_24A|1500.0|1.0|68.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|2.0|
91.0|41734.0|KR_68B|AC_24_Y_AC_24A|1515.0|1.0|75.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|16.0|0.0|
94.0|41734.0|KR_68B|AC_24_Y_AC_24A|1530.0|1.0|88.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|4.0|0.0|
60.0|41734.0|KR_68B|AC_24_Y_AC_24A|1545.0|1.0|57.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|
74.0|41734.0|KR_68B|AC_24_Y_AC_24A|1600.0|1.0|69.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|
75.0|41734.0|KR_68B|AC_24_Y_AC_24A|1615.0|1.0|67.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|6.0|0.0|
79.0|41734.0|KR_68B|AC_24_Y_AC_24A|1630.0|1.0|70.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|7.0|0.0|
67.0|41734.0|KR_68B|AC_24_Y_AC_24A|1645.0|1.0|65.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
81.0|41734.0|KR_68B|AC_24_Y_AC_24A|1700.0|1.0|75.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|5.0|0.0|
69.0|41734.0|KR_68B|AC_24_Y_AC_24A|1715.0|1.0|65.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|
70.0|41734.0|KR_68B|AC_24_Y_AC_24A|1730.0|1.0|61.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|4.0|
79.0|41734.0|KR_68B|AC_24_Y_AC_24A|1745.0|1.0|76.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|2.0|0.0|
61.0|41734.0|KR_68B|AC_24_Y_AC_24A|1800.0|1.0|59.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|
62.0|41734.0|KR_68B|AC_24_Y_AC_24A|1815.0|1.0|60.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
73.0|41734.0|KR_68B|AC_24_Y_AC_24A|1830.0|1.0|69.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|
85.0|41734.0|KR_68B|AC_24_Y_AC_24A|1845.0|1.0|77.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0|0.0|
87.0|41734.0|KR_68B|AC_24_Y_AC_24A|1900.0|1.0|81.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|5.0|0.0|
86.0|41734.0|KR_68B|AC_24_Y_AC_24A|1915.0|1.0|83.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|1.0|
63.0|41734.0|KR_68B|AC_24_Y_AC_24A|1930.0|1.0|62.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|
86.0|41734.0|KR_68B|AC_24_Y_AC_24A|1945.0|1.0|79.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|2.0|0.0|0.0|3.0|0.0|
74.0|41734.0|KR_68B|AC_24_Y_AC_24A|2000.0|1.0|65.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|1.0|
67.0|41734.0|KR_68B|AC_24_Y_AC_24A|2015.0|1.0|65.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
65.0|41734.0|KR_68B|AC_24_Y_AC_24A|2030.0|1.0|61.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|
61.0|41734.0|KR_68B|AC_24_Y_AC_24A|2045.0|1.0|52.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|9.0|0.0|
48.0|41734.0|KR_68B|AC_24_Y_AC_24A|2100.0|1.0|43.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|
58.0|41734.0|KR_68B|AC_24_Y_AC_24A|2115.0|1.0|53.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|1.0|
44.0|41734.0|KR_68B|AC_24_Y_AC_24A|2130.0|1.0|36.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0|0.0|
37.0|41734.0|KR_68B|AC_24_Y_AC_24A|2145.0|1.0|37.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
