|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
217.0|41801.0|AK_104|AC_145|2200.0|1.0|157.0|2.0|1.0|6.0|8.0|0.0|0.0|1.0|0.0|1.0|1.0|0.0|0.0|0.0|40.0|0.0|
191.0|41801.0|AK_104|AC_145|2215.0|1.0|126.0|1.0|3.0|7.0|7.0|0.0|0.0|5.0|0.0|1.0|2.0|0.0|0.0|0.0|37.0|2.0|
170.0|41801.0|AK_104|AC_145|2230.0|1.0|108.0|2.0|5.0|9.0|8.0|0.0|0.0|2.0|0.0|1.0|3.0|1.0|0.0|0.0|30.0|1.0|
151.0|41801.0|AK_104|AC_145|2245.0|1.0|102.0|3.0|1.0|5.0|7.0|0.0|0.0|4.0|0.0|1.0|2.0|0.0|0.0|0.0|25.0|1.0|
145.0|41801.0|AK_104|AC_145|2300.0|1.0|99.0|3.0|1.0|8.0|7.0|0.0|0.0|3.0|0.0|1.0|2.0|0.0|0.0|0.0|21.0|0.0|
111.0|41801.0|AK_104|AC_145|2315.0|1.0|69.0|1.0|2.0|7.0|8.0|0.0|0.0|3.0|0.0|0.0|0.0|2.0|0.0|0.0|19.0|0.0|
96.0|41801.0|AK_104|AC_145|2330.0|1.0|55.0|1.0|0.0|4.0|15.0|0.0|0.0|3.0|0.0|0.0|1.0|3.0|0.0|0.0|14.0|0.0|
82.0|41801.0|AK_104|AC_145|2345.0|1.0|52.0|0.0|0.0|2.0|9.0|0.0|0.0|4.0|0.0|0.0|3.0|3.0|0.0|0.0|7.0|2.0|
65.0|41801.0|AK_104|AC_145|0.0|1.0|35.0|0.0|2.0|4.0|5.0|0.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|16.0|0.0|
69.0|41801.0|AK_104|AC_145|15.0|1.0|41.0|0.0|1.0|3.0|7.0|0.0|0.0|3.0|0.0|0.0|1.0|0.0|0.0|0.0|13.0|0.0|
64.0|41801.0|AK_104|AC_145|30.0|1.0|30.0|0.0|0.0|2.0|8.0|0.0|0.0|5.0|0.0|1.0|1.0|0.0|0.0|0.0|16.0|1.0|
49.0|41801.0|AK_104|AC_145|45.0|1.0|30.0|1.0|0.0|4.0|1.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|10.0|0.0|
40.0|41801.0|AK_104|AC_145|100.0|1.0|31.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|6.0|0.0|
