|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
83.0|41836.0|AC_20|TV_39 BISA|2200.0|1.0|57.0|1.0|4.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|19.0|0.0|
67.0|41836.0|AC_20|TV_39BISA|2215.0|1.0|44.0|1.0|6.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|3.0|0.0|0.0|0.0|12.0|0.0|
54.0|41836.0|AC_20|TV_39BISA|2230.0|1.0|31.0|0.0|6.0|4.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|11.0|0.0|
45.0|41836.0|AC_20|TV_39BISA|2245.0|1.0|24.0|0.0|7.0|2.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|10.0|0.0|
49.0|41836.0|AC_20|TV_39BISA|2300.0|1.0|29.0|0.0|4.0|3.0|0.0|0.0|0.0|0.0|0.0|2.0|2.0|0.0|0.0|0.0|9.0|0.0|
39.0|41836.0|AC_20|TV_39BISA|2315.0|1.0|29.0|0.0|4.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|
23.0|41836.0|AC_20|TV_39BISA|2330.0|1.0|10.0|0.0|4.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|5.0|0.0|
14.0|41836.0|AC_20|TV_39BISA|2345.0|1.0|7.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|3.0|0.0|
14.0|41836.0|AC_20|TV_39BISA|0.0|1.0|8.0|0.0|3.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|
10.0|41836.0|AC_20|TV_39BISA|15.0|1.0|5.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|2.0|0.0|
10.0|41836.0|AC_20|TV_39BISA|30.0|1.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|3.0|0.0|
5.0|41836.0|AC_20|TV_39BISA|45.0|1.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
8.0|41836.0|AC_20|TV_39BISA|100.0|1.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|
