|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
196.0|41696.0|AK_7|AC_85|2200.0|1.0|162.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|33.0|0.0|
272.0|41696.0|AK_7|AC_85|2215.0|1.0|243.0|1.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|24.0|2.0|
195.0|41696.0|AK_7|AC_85|2230.0|1.0|169.0|2.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20.0|1.0|
186.0|41696.0|AK_7|AC_85|2245.0|1.0|160.0|0.0|0.0|3.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|21.0|0.0|
154.0|41696.0|AK_7|AC_85|2300.0|1.0|135.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|17.0|0.0|
96.0|41696.0|AK_7|AC_85|2315.0|1.0|86.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|10.0|0.0|
117.0|41696.0|AK_7|AC_85|2330.0|1.0|98.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|14.0|1.0|
64.0|41696.0|AK_7|AC_85|2345.0|1.0|54.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0|0.0|
80.0|41696.0|AK_7|AC_85|0.0|1.0|71.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|9.0|0.0|
63.0|41696.0|AK_7|AC_85|15.0|1.0|58.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|
48.0|41696.0|AK_7|AC_85|30.0|1.0|39.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|6.0|1.0|
35.0|41696.0|AK_7|AC_85|45.0|1.0|34.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|
36.0|41696.0|AK_7|AC_85|100.0|1.0|32.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
33.0|41696.0|AK_7|AC_85|115.0|1.0|28.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|
24.0|41696.0|AK_7|AC_85|130.0|1.0|21.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
33.0|41696.0|AK_7|AC_85|145.0|1.0|25.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|7.0|0.0|
20.0|41696.0|AK_7|AC_85|200.0|1.0|18.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|
10.0|41696.0|AK_7|AC_85|215.0|1.0|9.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
18.0|41696.0|AK_7|AC_85|230.0|1.0|17.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|
16.0|41696.0|AK_7|AC_85|245.0|1.0|15.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|
1.0|41696.0|AK_7|AC_85|300.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|
10.0|41696.0|AK_7|AC_85|315.0|1.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|
13.0|41696.0|AK_7|AC_85|330.0|1.0|9.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|
15.0|41696.0|AK_7|AC_85|345.0|1.0|11.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
12.0|41696.0|AK_7|AC_85|400.0|1.0|9.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|
31.0|41696.0|AK_7|AC_85|415.0|1.0|28.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|
31.0|41696.0|AK_7|AC_85|430.0|1.0|24.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|3.0|
43.0|41696.0|AK_7|AC_85|445.0|1.0|31.0|1.0|0.0|2.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|1.0|0.0|0.0|4.0|1.0|
50.0|41696.0|AK_7|AC_85|500.0|1.0|38.0|1.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|0.0|
131.0|41696.0|AK_7|AC_85|515.0|1.0|90.0|4.0|1.0|6.0|0.0|0.0|0.0|11.0|0.0|0.0|0.0|0.0|0.0|0.0|11.0|8.0|
236.0|41696.0|AK_7|AC_85|530.0|1.0|188.0|3.0|2.0|10.0|0.0|0.0|0.0|13.0|0.0|0.0|2.0|0.0|0.0|0.0|17.0|1.0|REVISADO SIN DIERENCIA CON FORMATO 
441.0|41696.0|AK_7|AC_85|545.0|1.0|378.0|2.0|1.0|11.0|0.0|0.0|0.0|16.0|0.0|1.0|1.0|2.0|0.0|0.0|23.0|6.0|REVISADO SIN DIERENCIA CON FORMATO 
457.0|41696.0|AK_7|AC_85|2200.0|2.0|366.0|2.0|2.0|5.0|0.0|0.0|0.0|1.0|7.0|0.0|3.0|0.0|0.0|0.0|67.0|4.0|
382.0|41696.0|AK_7|AC_85|2215.0|2.0|317.0|2.0|2.0|5.0|0.0|0.0|0.0|2.0|8.0|0.0|0.0|0.0|0.0|0.0|43.0|3.0|
