|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
374.0|41772.0|AK_45|AC_170|2200.0|1.0|264.0|3.0|13.0|4.0|6.0|19.0|6.0|4.0|6.0|2.0|17.0|0.0|3.0|1.0|26.0|0.0|
395.0|41772.0|AK_45|AC_170|2215.0|1.0|275.0|1.0|9.0|5.0|9.0|14.0|7.0|10.0|1.0|7.0|16.0|2.0|5.0|1.0|33.0|0.0|
407.0|41772.0|AK_45|AC_170|2230.0|1.0|252.0|1.0|11.0|2.0|14.0|18.0|8.0|17.0|6.0|17.0|14.0|1.0|6.0|5.0|35.0|0.0|
295.0|41772.0|AK_45|AC_170|2245.0|1.0|193.0|1.0|10.0|3.0|11.0|14.0|5.0|3.0|3.0|13.0|7.0|5.0|4.0|2.0|21.0|0.0|
290.0|41772.0|AK_45|AC_170|2300.0|1.0|206.0|2.0|11.0|2.0|6.0|14.0|2.0|5.0|4.0|7.0|8.0|1.0|8.0|4.0|10.0|0.0|
184.0|41772.0|AK_45|AC_170|2315.0|1.0|131.0|0.0|11.0|2.0|6.0|2.0|1.0|0.0|1.0|11.0|6.0|0.0|5.0|5.0|3.0|0.0|
167.0|41772.0|AK_45|AC_170|2330.0|1.0|112.0|1.0|9.0|0.0|5.0|6.0|0.0|2.0|1.0|7.0|5.0|1.0|4.0|4.0|10.0|0.0|
184.0|41772.0|AK_45|AC_170|2345.0|1.0|119.0|1.0|5.0|0.0|4.0|4.0|0.0|1.0|2.0|17.0|5.0|2.0|5.0|7.0|12.0|0.0|
122.0|41772.0|AK_45|AC_170|0.0|1.0|77.0|0.0|5.0|0.0|4.0|3.0|0.0|2.0|0.0|9.0|5.0|4.0|3.0|3.0|7.0|0.0|
132.0|41772.0|AK_45|AC_170|15.0|1.0|84.0|0.0|6.0|0.0|2.0|0.0|0.0|1.0|1.0|11.0|2.0|2.0|7.0|6.0|10.0|0.0|
125.0|41772.0|AK_45|AC_170|30.0|1.0|74.0|0.0|2.0|1.0|8.0|0.0|0.0|1.0|1.0|7.0|3.0|4.0|5.0|4.0|15.0|0.0|
99.0|41772.0|AK_45|AC_170|45.0|1.0|72.0|0.0|1.0|0.0|1.0|0.0|0.0|2.0|0.0|5.0|6.0|2.0|4.0|0.0|6.0|0.0|
85.0|41772.0|AK_45|AC_170|100.0|1.0|56.0|0.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|2.0|2.0|3.0|2.0|5.0|11.0|0.0|
