|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACION EN FORMATO DD/MM/AAA|VIA  ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|LOCALIZACION ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|PERIODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMOVILES|COLECTIVOS|BUSETA/BUSETON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUENO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACION
TOTAL MIXTOS|FECHA|VIA PRINCIPAL|VIA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
199.0|41888.0|AK_72|AC_72|2200.0|1.0|123.0|2.0|18.0|8.0|0.0|0.0|0.0|1.0|11.0|0.0|3.0|2.0|0.0|1.0|30.0|0.0|
210.0|41888.0|AK_72|AC_72|2215.0|1.0|100.0|8.0|12.0|9.0|0.0|0.0|0.0|4.0|14.0|1.0|7.0|2.0|1.0|2.0|47.0|3.0|
204.0|41888.0|AK_72|AC_72|2230.0|1.0|120.0|7.0|10.0|11.0|0.0|0.0|0.0|3.0|14.0|2.0|3.0|0.0|0.0|2.0|31.0|1.0|
182.0|41888.0|AK_72|AC_72|2245.0|1.0|100.0|4.0|16.0|4.0|0.0|0.0|0.0|3.0|11.0|1.0|5.0|2.0|1.0|6.0|29.0|0.0|
151.0|41888.0|AK_72|AC_72|2300.0|1.0|102.0|2.0|8.0|3.0|0.0|0.0|0.0|1.0|7.0|1.0|4.0|2.0|1.0|1.0|19.0|0.0|
140.0|41888.0|AK_72|AC_72|2315.0|1.0|87.0|2.0|21.0|0.0|0.0|0.0|0.0|1.0|7.0|1.0|3.0|0.0|0.0|0.0|16.0|2.0|
133.0|41888.0|AK_72|AC_72|2330.0|1.0|80.0|1.0|16.0|2.0|0.0|0.0|0.0|0.0|6.0|1.0|5.0|2.0|2.0|2.0|16.0|0.0|
141.0|41888.0|AK_72|AC_72|2345.0|1.0|90.0|2.0|11.0|3.0|0.0|0.0|0.0|0.0|5.0|1.0|3.0|1.0|0.0|3.0|22.0|0.0|
125.0|41888.0|AK_72|AC_72|0.0|1.0|100.0|1.0|8.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|2.0|2.0|0.0|0.0|6.0|1.0|
124.0|41888.0|AK_72|AC_72|15.0|1.0|85.0|3.0|8.0|2.0|0.0|0.0|0.0|1.0|2.0|0.0|2.0|6.0|0.0|2.0|13.0|0.0|
139.0|41888.0|AK_72|AC_72|30.0|1.0|110.0|0.0|5.0|1.0|0.0|0.0|0.0|0.0|4.0|0.0|4.0|2.0|0.0|1.0|10.0|2.0|
81.0|41888.0|AK_72|AC_72|45.0|1.0|62.0|1.0|1.0|1.0|0.0|0.0|0.0|2.0|2.0|1.0|5.0|2.0|1.0|0.0|3.0|0.0|
85.0|41888.0|AK_72|AC_72|100.0|1.0|67.0|0.0|1.0|0.0|0.0|0.0|0.0|2.0|2.0|1.0|3.0|0.0|1.0|3.0|5.0|0.0|
94.0|41888.0|AK_72|AC_72|115.0|1.0|69.0|0.0|0.0|2.0|0.0|0.0|0.0|2.0|1.0|0.0|5.0|0.0|0.0|3.0|11.0|1.0|
88.0|41888.0|AK_72|AC_72|130.0|1.0|69.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|3.0|0.0|5.0|2.0|0.0|0.0|8.0|0.0|
70.0|41888.0|AK_72|AC_72|145.0|1.0|57.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|3.0|0.0|4.0|1.0|0.0|1.0|2.0|0.0|
78.0|41888.0|AK_72|AC_72|200.0|1.0|66.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|2.0|4.0|0.0|0.0|0.0|4.0|1.0|
80.0|41888.0|AK_72|AC_72|215.0|1.0|61.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|5.0|0.0|7.0|0.0|0.0|0.0|3.0|2.0|
71.0|41888.0|AK_72|AC_72|230.0|1.0|60.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|2.0|2.0|1.0|0.0|4.0|0.0|
74.0|41888.0|AK_72|AC_72|245.0|1.0|56.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|2.0|1.0|6.0|0.0|0.0|3.0|4.0|1.0|
78.0|41888.0|AK_72|AC_72|300.0|1.0|59.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|4.0|1.0|2.0|1.0|6.0|1.0|
78.0|41888.0|AK_72|AC_72|315.0|1.0|61.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|4.0|6.0|0.0|2.0|3.0|0.0|
79.0|41888.0|AK_72|AC_72|330.0|1.0|60.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|3.0|3.0|4.0|3.0|0.0|3.0|1.0|1.0|
75.0|41888.0|AK_72|AC_72|345.0|1.0|64.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|2.0|2.0|1.0|0.0|0.0|2.0|0.0|
83.0|41888.0|AK_72|AC_72|400.0|1.0|54.0|2.0|1.0|1.0|0.0|0.0|0.0|0.0|6.0|1.0|5.0|0.0|1.0|3.0|9.0|0.0|
95.0|41888.0|AK_72|AC_72|415.0|1.0|59.0|0.0|6.0|4.0|0.0|0.0|0.0|5.0|6.0|1.0|5.0|1.0|0.0|2.0|5.0|1.0|
97.0|41888.0|AK_72|AC_72|430.0|1.0|57.0|0.0|12.0|2.0|0.0|0.0|0.0|3.0|13.0|0.0|6.0|1.0|2.0|0.0|1.0|0.0|
100.0|41888.0|AK_72|AC_72|445.0|1.0|41.0|2.0|14.0|3.0|0.0|0.0|0.0|5.0|16.0|4.0|7.0|0.0|0.0|2.0|1.0|5.0|
113.0|41888.0|AK_72|AC_72|500.0|1.0|33.0|1.0|12.0|5.0|0.0|0.0|0.0|2.0|20.0|0.0|11.0|5.0|3.0|2.0|15.0|4.0|
149.0|41888.0|AK_72|AC_72|515.0|1.0|51.0|2.0|13.0|8.0|0.0|0.0|0.0|2.0|29.0|2.0|16.0|4.0|2.0|5.0|13.0|2.0|
164.0|41888.0|AK_72|AC_72|530.0|1.0|58.0|8.0|21.0|13.0|0.0|0.0|0.0|4.0|28.0|1.0|15.0|1.0|2.0|0.0|10.0|3.0|
164.0|41888.0|AK_72|AC_72|545.0|1.0|67.0|5.0|22.0|7.0|0.0|0.0|0.0|7.0|31.0|0.0|11.0|1.0|1.0|2.0|9.0|1.0|
199.0|41888.0|AK_72|AC_72|600.0|1.0|65.0|6.0|21.0|10.0|0.0|0.0|0.0|7.0|41.0|3.0|21.0|4.0|1.0|1.0|11.0|8.0|
262.0|41888.0|AK_72|AC_72|615.0|1.0|97.0|7.0|20.0|12.0|0.0|0.0|0.0|4.0|38.0|5.0|13.0|5.0|4.0|2.0|47.0|8.0|
232.0|41888.0|AK_72|AC_72|630.0|1.0|80.0|9.0|12.0|13.0|0.0|0.0|0.0|6.0|36.0|3.0|15.0|4.0|0.0|2.0|40.0|12.0|
280.0|41888.0|AK_72|AC_72|645.0|1.0|109.0|9.0|20.0|14.0|0.0|0.0|0.0|12.0|41.0|2.0|26.0|2.0|2.0|2.0|32.0|9.0|
269.0|41888.0|AK_72|AC_72|700.0|1.0|111.0|10.0|18.0|19.0|0.0|0.0|0.0|6.0|37.0|5.0|20.0|1.0|2.0|3.0|33.0|4.0|
281.0|41888.0|AK_72|AC_72|715.0|1.0|129.0|6.0|20.0|17.0|0.0|0.0|0.0|4.0|40.0|4.0|14.0|3.0|2.0|1.0|37.0|4.0|
283.0|41888.0|AK_72|AC_72|730.0|1.0|132.0|10.0|21.0|14.0|0.0|0.0|0.0|2.0|33.0|4.0|20.0|1.0|3.0|4.0|37.0|2.0|
293.0|41888.0|AK_72|AC_72|745.0|1.0|139.0|8.0|14.0|15.0|0.0|0.0|0.0|4.0|35.0|7.0|18.0|2.0|1.0|2.0|44.0|4.0|
264.0|41888.0|AK_72|AC_72|800.0|1.0|146.0|7.0|13.0|14.0|0.0|0.0|0.0|3.0|20.0|3.0|16.0|6.0|3.0|2.0|26.0|5.0|
318.0|41888.0|AK_72|AC_72|815.0|1.0|162.0|13.0|16.0|14.0|0.0|0.0|0.0|2.0|33.0|4.0|33.0|6.0|1.0|2.0|32.0|0.0|
240.0|41888.0|AK_72|AC_72|830.0|1.0|125.0|4.0|17.0|12.0|0.0|0.0|0.0|2.0|30.0|6.0|12.0|3.0|3.0|1.0|24.0|1.0|
321.0|41888.0|AK_72|AC_72|845.0|1.0|169.0|8.0|15.0|9.0|0.0|0.0|0.0|3.0|31.0|5.0|16.0|4.0|0.0|3.0|58.0|0.0|
296.0|41888.0|AK_72|AC_72|900.0|1.0|132.0|9.0|27.0|20.0|0.0|0.0|0.0|2.0|30.0|7.0|22.0|6.0|2.0|0.0|38.0|1.0|
