|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACION EN FORMATO DD/MM/AAA|VIA  ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|LOCALIZACION ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|PERIODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMOVILES|COLECTIVOS|BUSETA/BUSETON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUENO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACION
TOTAL MIXTOS|FECHA|VIA PRINCIPAL|VIA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
478.0|41843.0|AK_86|AC_17|2200.0|1.0|303.0|10.0|9.0|13.0|1.0|0.0|0.0|3.0|1.0|2.0|11.0|4.0|3.0|2.0|99.0|17.0|
644.0|41843.0|AK_86|AC_17|2215.0|1.0|363.0|10.0|16.0|15.0|2.0|0.0|0.0|15.0|0.0|0.0|14.0|4.0|0.0|4.0|168.0|33.0|A LAS 2215 AUMENTA EL VOLUMEN DE LIVIANOS Y BICICLETAS SIN EXPLICACION  ALGUNA
400.0|41843.0|AK_86|AC_17|2230.0|1.0|263.0|7.0|4.0|8.0|2.0|0.0|0.0|9.0|2.0|2.0|3.0|3.0|0.0|1.0|85.0|11.0|2230 DISMINUYE VOLUMEN DE LIVIANOS Y BICICLETAS SIN EXPLICACION ALGUNA
397.0|41843.0|AK_86|AC_17|2245.0|1.0|253.0|9.0|17.0|12.0|3.0|0.0|2.0|7.0|0.0|2.0|21.0|1.0|0.0|1.0|63.0|6.0|
265.0|41843.0|AK_86|AC_17|2300.0|1.0|182.0|9.0|11.0|10.0|3.0|0.0|0.0|4.0|0.0|1.0|5.0|0.0|1.0|1.0|37.0|1.0|2300 A 2315 DISMINUICION DEL VOLUMEN  POR HORA VALLE
265.0|41843.0|AK_86|AC_17|2315.0|1.0|159.0|7.0|21.0|17.0|1.0|0.0|0.0|11.0|0.0|0.0|7.0|0.0|1.0|1.0|31.0|9.0|
226.0|41843.0|AK_86|AC_17|2330.0|1.0|135.0|4.0|16.0|6.0|5.0|0.0|0.0|6.0|0.0|2.0|4.0|0.0|2.0|2.0|44.0|0.0|
214.0|41843.0|AK_86|AC_17|2345.0|1.0|130.0|1.0|15.0|6.0|6.0|0.0|0.0|4.0|0.0|1.0|5.0|1.0|0.0|0.0|41.0|4.0|
174.0|41843.0|AK_86|AC_17|0.0|1.0|97.0|3.0|15.0|11.0|8.0|0.0|0.0|8.0|0.0|0.0|1.0|1.0|0.0|6.0|23.0|1.0|
166.0|41843.0|AK_86|AC_17|15.0|1.0|96.0|1.0|12.0|5.0|7.0|0.0|0.0|17.0|0.0|1.0|1.0|3.0|2.0|1.0|18.0|2.0|AUMENTO DE ESPECIALES SIN CAUSA A LA VISTA
140.0|41843.0|AK_86|AC_17|30.0|1.0|85.0|0.0|4.0|4.0|2.0|0.0|0.0|7.0|0.0|1.0|8.0|1.0|1.0|1.0|21.0|5.0|
110.0|41843.0|AK_86|AC_17|45.0|1.0|55.0|0.0|1.0|2.0|1.0|0.0|0.0|5.0|0.0|3.0|6.0|3.0|4.0|2.0|27.0|1.0|
88.0|41843.0|AK_86|AC_17|100.0|1.0|60.0|0.0|0.0|1.0|0.0|0.0|0.0|3.0|0.0|1.0|1.0|1.0|0.0|0.0|21.0|0.0|
100.0|41843.0|AK_86|AC_17|115.0|1.0|63.0|1.0|0.0|0.0|0.0|0.0|0.0|12.0|0.0|0.0|4.0|1.0|1.0|0.0|16.0|2.0|
77.0|41843.0|AK_86|AC_17|130.0|1.0|54.0|0.0|0.0|1.0|0.0|0.0|0.0|6.0|0.0|0.0|2.0|0.0|0.0|1.0|12.0|1.0|
81.0|41843.0|AK_86|AC_17|145.0|1.0|56.0|0.0|1.0|0.0|0.0|0.0|0.0|3.0|0.0|2.0|5.0|3.0|0.0|1.0|10.0|0.0|
93.0|41843.0|AK_86|AC_17|200.0|1.0|58.0|2.0|0.0|1.0|0.0|0.0|0.0|2.0|2.0|0.0|4.0|1.0|0.0|3.0|19.0|1.0|
85.0|41843.0|AK_86|AC_17|215.0|1.0|59.0|1.0|0.0|0.0|0.0|0.0|0.0|6.0|0.0|3.0|5.0|1.0|0.0|0.0|10.0|0.0|
98.0|41843.0|AK_86|AC_17|230.0|1.0|73.0|2.0|1.0|0.0|0.0|0.0|0.0|2.0|0.0|5.0|4.0|3.0|0.0|0.0|8.0|0.0|
107.0|41843.0|AK_86|AC_17|245.0|1.0|82.0|2.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|7.0|4.0|1.0|0.0|1.0|7.0|0.0|
106.0|41843.0|AK_86|AC_17|300.0|1.0|83.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|5.0|5.0|3.0|0.0|0.0|8.0|1.0|
132.0|41843.0|AK_86|AC_17|315.0|1.0|93.0|2.0|0.0|2.0|0.0|0.0|0.0|3.0|1.0|4.0|8.0|2.0|0.0|6.0|9.0|2.0|
140.0|41843.0|AK_86|AC_17|330.0|1.0|102.0|3.0|0.0|3.0|2.0|0.0|1.0|8.0|1.0|1.0|7.0|0.0|0.0|2.0|10.0|0.0|
182.0|41843.0|AK_86|AC_17|345.0|1.0|129.0|2.0|0.0|2.0|1.0|0.0|8.0|6.0|4.0|0.0|15.0|1.0|1.0|4.0|9.0|0.0|AUMENTA EL VOLUMEN DE LIVIANO SIN EXPLICACION _ LLUVIA HASTA 430
203.0|41843.0|AK_86|AC_17|400.0|1.0|149.0|4.0|4.0|4.0|0.0|3.0|3.0|5.0|1.0|6.0|9.0|1.0|0.0|0.0|9.0|5.0|
211.0|41843.0|AK_86|AC_17|415.0|1.0|131.0|9.0|5.0|4.0|0.0|0.0|4.0|15.0|4.0|7.0|16.0|0.0|1.0|5.0|10.0|0.0|
245.0|41843.0|AK_86|AC_17|430.0|1.0|156.0|5.0|2.0|4.0|1.0|1.0|1.0|35.0|0.0|6.0|19.0|2.0|0.0|0.0|12.0|1.0|AUMENTA EL VOLUMEN SIN EXPLICACION ALGUNA _ INVREMENTO DEL VOLUMEN POR HORA PICO
255.0|41843.0|AK_86|AC_17|445.0|1.0|158.0|7.0|1.0|6.0|1.0|2.0|0.0|42.0|2.0|2.0|7.0|7.0|0.0|1.0|15.0|4.0|
329.0|41843.0|AK_86|AC_17|500.0|1.0|199.0|13.0|5.0|8.0|0.0|2.0|1.0|27.0|0.0|3.0|21.0|5.0|0.0|3.0|34.0|8.0|
363.0|41843.0|AK_86|AC_17|515.0|1.0|218.0|9.0|7.0|12.0|2.0|1.0|1.0|22.0|1.0|3.0|25.0|3.0|0.0|6.0|42.0|11.0|
366.0|41843.0|AK_86|AC_17|530.0|1.0|255.0|4.0|4.0|5.0|0.0|0.0|0.0|35.0|0.0|3.0|7.0|1.0|0.0|4.0|36.0|12.0|CONGESTION VEHICULAR_ AUMENTA EL VOLUMEN VEHICULAR POR HORA PICO_ 600 TERMINA TURNO CON CONGESTION VEHICULAR
414.0|41843.0|AK_86|AC_17|545.0|1.0|289.0|7.0|2.0|12.0|1.0|0.0|1.0|22.0|2.0|0.0|14.0|0.0|0.0|0.0|52.0|12.0|SE INICIA TURNO CON CONGESTION VEHICULAR
487.0|41843.0|AK_86|AC_17|600.0|1.0|271.0|9.0|6.0|15.0|4.0|1.0|1.0|25.0|0.0|9.0|25.0|1.0|0.0|3.0|87.0|30.0|
453.0|41843.0|AK_86|AC_17|615.0|1.0|243.0|6.0|3.0|8.0|1.0|0.0|0.0|13.0|0.0|4.0|10.0|3.0|0.0|0.0|139.0|23.0|
506.0|41843.0|AK_86|AC_17|630.0|1.0|261.0|6.0|2.0|9.0|1.0|0.0|1.0|19.0|0.0|6.0|15.0|3.0|0.0|0.0|164.0|19.0|
694.0|41843.0|AK_86|AC_17|645.0|1.0|335.0|7.0|7.0|16.0|2.0|0.0|1.0|14.0|0.0|10.0|31.0|1.0|0.0|0.0|241.0|29.0|
813.0|41843.0|AK_86|AC_17|700.0|1.0|448.0|8.0|12.0|14.0|0.0|0.0|0.0|24.0|0.0|22.0|36.0|1.0|0.0|2.0|221.0|25.0|SE PRESENTA UN INCREMENTO EN EL VOLUMEN DE LIVIANOS POR INICIO DE JORNADA LABORAL, ESCOLAR Y HORA PICO
647.0|41843.0|AK_86|AC_17|715.0|1.0|354.0|8.0|1.0|15.0|2.0|0.0|0.0|22.0|0.0|17.0|30.0|1.0|2.0|2.0|173.0|20.0|
742.0|41843.0|AK_86|AC_17|730.0|1.0|411.0|8.0|5.0|10.0|2.0|0.0|0.0|18.0|0.0|8.0|37.0|5.0|0.0|0.0|217.0|21.0|
657.0|41843.0|AK_86|AC_17|745.0|1.0|352.0|5.0|6.0|10.0|1.0|0.0|0.0|11.0|0.0|21.0|33.0|0.0|1.0|1.0|201.0|15.0|
