|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
432.0|41804.0|AK_72|AC_26_S|2200.0|1.0|274.0|8.0|26.0|17.0|0.0|0.0|0.0|4.0|14.0|5.0|7.0|6.0|6.0|5.0|59.0|1.0|SE INICIA TURNO (2200) CON LLUVIA HASTA LA 100. DATOS REVISADOS IGUAL AL FORMATO.
450.0|41804.0|AK_72|AC_26_S|2215.0|1.0|249.0|12.0|21.0|9.0|0.0|0.0|0.0|10.0|21.0|3.0|9.0|6.0|9.0|5.0|94.0|2.0|SE INICIA TURNO (2200) CON LLUVIA HASTA LA 100.
399.0|41804.0|AK_72|AC_26_S|2230.0|1.0|222.0|13.0|30.0|18.0|0.0|0.0|0.0|10.0|19.0|4.0|6.0|6.0|2.0|6.0|59.0|4.0|SE INICIA TURNO (2200) CON LLUVIA HASTA LA 100.
308.0|41804.0|AK_72|AC_26_S|2245.0|1.0|175.0|11.0|17.0|10.0|0.0|0.0|0.0|4.0|16.0|8.0|4.0|5.0|10.0|3.0|43.0|2.0|SE INICIA TURNO (2200) CON LLUVIA HASTA LA 100.
299.0|41804.0|AK_72|AC_26_S|2300.0|1.0|165.0|8.0|21.0|13.0|0.0|0.0|0.0|5.0|20.0|6.0|8.0|4.0|4.0|8.0|37.0|0.0|SE INICIA TURNO (2200) CON LLUVIA HASTA LA 100.
280.0|41804.0|AK_72|AC_26_S|2315.0|1.0|151.0|8.0|23.0|9.0|0.0|0.0|0.0|7.0|16.0|4.0|5.0|5.0|7.0|5.0|40.0|0.0|SE INICIA TURNO (2200) CON LLUVIA HASTA LA 100.
276.0|41804.0|AK_72|AC_26_S|2330.0|1.0|157.0|4.0|19.0|5.0|0.0|0.0|0.0|4.0|16.0|9.0|9.0|5.0|5.0|1.0|41.0|1.0|SE INICIA TURNO (2200) CON LLUVIA HASTA LA 100.
255.0|41804.0|AK_72|AC_26_S|2345.0|1.0|160.0|7.0|19.0|4.0|0.0|0.0|0.0|7.0|9.0|4.0|6.0|4.0|4.0|2.0|29.0|0.0|SE INICIA TURNO (2200) CON LLUVIA HASTA LA 100.
239.0|41804.0|AK_72|AC_26_S|0.0|1.0|163.0|3.0|8.0|1.0|0.0|0.0|0.0|2.0|10.0|3.0|9.0|5.0|3.0|2.0|30.0|0.0|SE INICIA TURNO (2200) CON LLUVIA HASTA LA 100.
