ESTRUCTURA DE LA BASE DE DATOS||||||||||||||||||||||
FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VIA  ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACIÓN|LOCALIZACION ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMOVILES|COLECTIVOS|BUSETA/BUSETON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERAVCIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN|OBSERVACIONES REFERIDAS AL ANÁLISIS DEL COMPORTAMIENTO
FECHA|VIA|LOCALIZACION|PERÍODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES|OBSERVACIONES AUX
41675.0|AK_72|AC_17|2200.0|1.0|131.0|9.0|11.0|12.0|0.0|0.0|0.0|0.0|11.0|2.0|13.0|0.0|0.0|2.0|53.0|2.0||
41675.0|AK_72|AC_17|2215.0|1.0|123.0|11.0|16.0|12.0|0.0|0.0|0.0|3.0|12.0|0.0|4.0|3.0|1.0|0.0|60.0|7.0||
41675.0|AK_72|AC_17|2230.0|1.0|115.0|6.0|6.0|20.0|0.0|0.0|0.0|3.0|9.0|3.0|10.0|0.0|1.0|2.0|45.0|2.0||
41675.0|AK_72|AC_17|2245.0|1.0|128.0|4.0|12.0|12.0|0.0|0.0|0.0|1.0|3.0|0.0|8.0|5.0|4.0|5.0|30.0|2.0||
41675.0|AK_72|AC_17|2300.0|1.0|110.0|3.0|10.0|10.0|0.0|0.0|0.0|8.0|3.0|0.0|13.0|1.0|1.0|1.0|7.0|31.0||
41675.0|AK_72|AC_17|2315.0|1.0|77.0|4.0|10.0|7.0|0.0|0.0|0.0|1.0|3.0|1.0|10.0|2.0|2.0|2.0|15.0|8.0||
41675.0|AK_72|AC_17|2330.0|1.0|76.0|2.0|8.0|6.0|0.0|0.0|0.0|0.0|1.0|0.0|9.0|0.0|2.0|0.0|12.0|1.0||
41675.0|AK_72|AC_17|2345.0|1.0|60.0|0.0|3.0|9.0|0.0|0.0|0.0|2.0|3.0|1.0|5.0|3.0|0.0|4.0|17.0|3.0||
41675.0|AK_72|AC_17|0.0|1.0|63.0|3.0|1.0|3.0|0.0|0.0|0.0|1.0|1.0|1.0|8.0|2.0|0.0|3.0|6.0|0.0||
41675.0|AK_72|AC_17|15.0|1.0|63.0|1.0|2.0|2.0|0.0|0.0|0.0|2.0|1.0|0.0|5.0|0.0|0.0|6.0|3.0|0.0||
41675.0|AK_72|AC_17|30.0|1.0|54.0|2.0|2.0|2.0|0.0|0.0|0.0|2.0|0.0|1.0|6.0|5.0|1.0|6.0|5.0|1.0||
41675.0|AK_72|AC_17|45.0|1.0|46.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|2.0|0.0|0.0|7.0|1.0||
41675.0|AK_72|AC_17|100.0|1.0|44.0|0.0|0.0|1.0|0.0|0.0|0.0|3.0|2.0|0.0|9.0|1.0|0.0|4.0|3.0|0.0||
41675.0|AK_72|AC_17|115.0|1.0|33.0|0.0|1.0|1.0|0.0|0.0|0.0|2.0|1.0|0.0|7.0|1.0|2.0|2.0|6.0|1.0||
41675.0|AK_72|AC_17|130.0|1.0|28.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|2.0|0.0|0.0|5.0|0.0||
41675.0|AK_72|AC_17|145.0|1.0|24.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|2.0|0.0|0.0|5.0|0.0||
41675.0|AK_72|AC_17|200.0|1.0|26.0|1.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|4.0|2.0|0.0|1.0|4.0|0.0||
41675.0|AK_72|AC_17|215.0|1.0|33.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|1.0|0.0|2.0|4.0|0.0||
41675.0|AK_72|AC_17|230.0|1.0|34.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|1.0|0.0|4.0|2.0|1.0|1.0|4.0|0.0||
41675.0|AK_72|AC_17|245.0|1.0|37.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|13.0|2.0|0.0|1.0|1.0|0.0||
41675.0|AK_72|AC_17|300.0|1.0|38.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|2.0|9.0|2.0|1.0|1.0|2.0|0.0||
41675.0|AK_72|AC_17|315.0|1.0|40.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|7.0|1.0|0.0|5.0|3.0|0.0||
