|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
279.0|41727.0|KR_13|AC_63|2200.0|1.0|164.0|28.0|14.0|14.0|0.0|0.0|0.0|2.0|1.0|1.0|1.0|0.0|0.0|0.0|54.0|0.0|
261.0|41727.0|KR_13|AC_63|2215.0|1.0|183.0|22.0|11.0|13.0|0.0|0.0|0.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|26.0|1.0|
241.0|41727.0|KR_13|AC_63|2230.0|1.0|173.0|19.0|8.0|10.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|28.0|1.0|
207.0|41727.0|KR_13|AC_63|2245.0|1.0|150.0|20.0|7.0|6.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|2.0|0.0|0.0|19.0|1.0|
179.0|41727.0|KR_13|AC_63|2300.0|1.0|116.0|10.0|16.0|10.0|0.0|0.0|0.0|3.0|1.0|0.0|0.0|0.0|0.0|0.0|23.0|0.0|
230.0|41727.0|KR_13|AC_63|2315.0|1.0|176.0|10.0|9.0|9.0|0.0|0.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|17.0|6.0|
184.0|41727.0|KR_13|AC_63|2330.0|1.0|135.0|12.0|8.0|8.0|0.0|0.0|0.0|3.0|0.0|1.0|2.0|0.0|0.0|0.0|15.0|0.0|
180.0|41727.0|KR_13|AC_63|2345.0|1.0|145.0|10.0|4.0|6.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|10.0|2.0|
169.0|41727.0|KR_13|AC_63|0.0|1.0|122.0|6.0|5.0|7.0|0.0|0.0|0.0|2.0|1.0|0.0|3.0|1.0|0.0|0.0|20.0|2.0|
173.0|41727.0|KR_13|AC_63|15.0|1.0|146.0|6.0|3.0|2.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|15.0|0.0|
159.0|41727.0|KR_13|AC_63|30.0|1.0|133.0|3.0|1.0|4.0|0.0|0.0|0.0|3.0|2.0|1.0|0.0|0.0|0.0|0.0|12.0|0.0|
169.0|41727.0|KR_13|AC_63|45.0|1.0|145.0|2.0|1.0|3.0|0.0|0.0|0.0|3.0|1.0|0.0|0.0|0.0|0.0|0.0|10.0|4.0|
166.0|41727.0|KR_13|AC_63|100.0|1.0|136.0|7.0|0.0|3.0|0.0|0.0|0.0|2.0|2.0|0.0|2.0|0.0|0.0|0.0|11.0|3.0|
