|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
456.0|41839.0|AK_86|AC_43_S|2200.0|1.0|243.0|15.0|18.0|5.0|1.0|0.0|0.0|9.0|6.0|4.0|11.0|2.0|0.0|6.0|131.0|5.0|
491.0|41839.0|AK_86|AC_43_S|2215.0|1.0|265.0|15.0|16.0|3.0|4.0|0.0|0.0|8.0|2.0|3.0|10.0|0.0|0.0|2.0|162.0|1.0|
483.0|41839.0|AK_86|AC_43_S|2230.0|1.0|249.0|17.0|10.0|4.0|2.0|0.0|0.0|13.0|5.0|1.0|16.0|1.0|1.0|3.0|160.0|1.0|
463.0|41839.0|AK_86|AC_43_S|2245.0|1.0|261.0|14.0|15.0|9.0|2.0|0.0|0.0|24.0|2.0|0.0|6.0|1.0|0.0|3.0|123.0|3.0|
494.0|41839.0|AK_86|AC_43_S|2300.0|1.0|294.0|18.0|14.0|10.0|3.0|0.0|0.0|9.0|6.0|2.0|7.0|1.0|2.0|2.0|122.0|4.0|
374.0|41839.0|AK_86|AC_43_S|2315.0|1.0|231.0|20.0|9.0|6.0|2.0|0.0|0.0|5.0|1.0|1.0|5.0|3.0|0.0|2.0|86.0|3.0|
403.0|41839.0|AK_86|AC_43_S|2330.0|1.0|251.0|19.0|9.0|9.0|1.0|0.0|0.0|7.0|4.0|2.0|5.0|2.0|2.0|2.0|89.0|1.0|
337.0|41839.0|AK_86|AC_43_S|2345.0|1.0|223.0|11.0|5.0|5.0|2.0|0.0|0.0|7.0|1.0|2.0|4.0|1.0|1.0|0.0|73.0|2.0|
256.0|41839.0|AK_86|AC_43_S|0.0|1.0|171.0|10.0|8.0|8.0|3.0|0.0|0.0|3.0|2.0|2.0|4.0|0.0|1.0|0.0|42.0|2.0|
282.0|41839.0|AK_86|AC_43_S|15.0|1.0|179.0|9.0|6.0|7.0|2.0|0.0|0.0|4.0|1.0|3.0|10.0|1.0|1.0|2.0|53.0|4.0|
228.0|41839.0|AK_86|AC_43_S|30.0|1.0|155.0|2.0|11.0|2.0|2.0|0.0|0.0|9.0|1.0|0.0|4.0|0.0|0.0|0.0|41.0|1.0|
201.0|41839.0|AK_86|AC_43_S|45.0|1.0|143.0|3.0|5.0|3.0|0.0|0.0|0.0|6.0|0.0|1.0|7.0|0.0|0.0|0.0|33.0|0.0|
172.0|41839.0|AK_86|AC_43_S|100.0|1.0|136.0|2.0|1.0|0.0|0.0|0.0|0.0|6.0|1.0|2.0|5.0|0.0|1.0|0.0|17.0|1.0|
217.0|41839.0|AK_86|AC_43_S|115.0|1.0|172.0|2.0|2.0|1.0|0.0|0.0|0.0|4.0|0.0|4.0|5.0|0.0|2.0|0.0|20.0|5.0|
175.0|41839.0|AK_86|AC_43_S|130.0|1.0|142.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|1.0|5.0|1.0|0.0|0.0|21.0|3.0|
188.0|41839.0|AK_86|AC_43_S|145.0|1.0|149.0|1.0|1.0|1.0|0.0|0.0|0.0|4.0|0.0|0.0|10.0|4.0|0.0|1.0|17.0|0.0|
194.0|41839.0|AK_86|AC_43_S|200.0|1.0|163.0|1.0|2.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|7.0|1.0|0.0|1.0|15.0|2.0|
191.0|41839.0|AK_86|AC_43_S|215.0|1.0|155.0|1.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|0.0|4.0|1.0|4.0|0.0|20.0|3.0|
166.0|41839.0|AK_86|AC_43_S|230.0|1.0|127.0|2.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|7.0|1.0|5.0|0.0|16.0|4.0|
166.0|41839.0|AK_86|AC_43_S|245.0|1.0|123.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|9.0|2.0|2.0|0.0|24.0|1.0|
190.0|41839.0|AK_86|AC_43_S|300.0|1.0|158.0|2.0|0.0|3.0|0.0|0.0|0.0|3.0|0.0|1.0|7.0|1.0|1.0|1.0|13.0|0.0|
224.0|41839.0|AK_86|AC_43_S|315.0|1.0|177.0|1.0|0.0|1.0|6.0|0.0|0.0|2.0|0.0|2.0|6.0|1.0|0.0|1.0|26.0|1.0|
255.0|41839.0|AK_86|AC_43_S|330.0|1.0|187.0|3.0|2.0|2.0|19.0|0.0|0.0|2.0|1.0|1.0|11.0|0.0|0.0|1.0|25.0|1.0|
239.0|41839.0|AK_86|AC_43_S|345.0|1.0|173.0|5.0|1.0|2.0|15.0|0.0|0.0|9.0|1.0|2.0|7.0|1.0|2.0|3.0|17.0|1.0|
252.0|41839.0|AK_86|AC_43_S|400.0|1.0|181.0|6.0|2.0|4.0|10.0|0.0|0.0|6.0|0.0|3.0|11.0|3.0|3.0|1.0|21.0|1.0|
256.0|41839.0|AK_86|AC_43_S|415.0|1.0|173.0|10.0|5.0|7.0|11.0|0.0|0.0|5.0|1.0|1.0|10.0|1.0|0.0|1.0|29.0|2.0|4:15 A 5:00 LLUEVE.
239.0|41839.0|AK_86|AC_43_S|430.0|1.0|156.0|6.0|3.0|8.0|7.0|0.0|0.0|7.0|1.0|3.0|14.0|0.0|4.0|3.0|26.0|1.0|4:15 A 5:00 LLUEVE.
237.0|41839.0|AK_86|AC_43_S|445.0|1.0|168.0|6.0|4.0|13.0|1.0|0.0|0.0|5.0|4.0|1.0|9.0|0.0|1.0|2.0|23.0|0.0|4:15 A 5:00 LLUEVE.
258.0|41839.0|AK_86|AC_43_S|500.0|1.0|173.0|8.0|7.0|14.0|3.0|0.0|0.0|5.0|0.0|1.0|12.0|3.0|1.0|2.0|28.0|1.0|4:15 A 5:00 LLUEVE.
279.0|41839.0|AK_86|AC_43_S|515.0|1.0|168.0|12.0|9.0|13.0|2.0|0.0|0.0|2.0|2.0|3.0|12.0|5.0|2.0|2.0|44.0|3.0|
293.0|41839.0|AK_86|AC_43_S|530.0|1.0|163.0|19.0|10.0|12.0|2.0|0.0|0.0|2.0|2.0|3.0|18.0|3.0|1.0|3.0|55.0|0.0|
319.0|41839.0|AK_86|AC_43_S|545.0|1.0|160.0|20.0|8.0|18.0|4.0|0.0|0.0|2.0|1.0|5.0|17.0|3.0|6.0|5.0|69.0|1.0|
328.0|41839.0|AK_86|AC_43_S|600.0|1.0|152.0|15.0|12.0|13.0|3.0|0.0|0.0|3.0|0.0|4.0|23.0|3.0|1.0|3.0|96.0|0.0|
