|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
290.0|41762.0|AK_72|AC_17|2200.0|1.0|186.0|4.0|15.0|18.0|0.0|0.0|0.0|5.0|6.0|2.0|5.0|4.0|0.0|0.0|42.0|3.0|
314.0|41762.0|AK_72|AC_17|2215.0|1.0|155.0|9.0|16.0|27.0|0.0|0.0|0.0|7.0|23.0|2.0|4.0|4.0|5.0|1.0|59.0|2.0|
254.0|41762.0|AK_72|AC_17|2230.0|1.0|143.0|4.0|10.0|21.0|0.0|0.0|0.0|1.0|7.0|5.0|6.0|3.0|9.0|0.0|43.0|2.0|
223.0|41762.0|AK_72|AC_17|2245.0|1.0|139.0|5.0|4.0|15.0|0.0|0.0|0.0|5.0|9.0|3.0|5.0|4.0|3.0|0.0|30.0|1.0|
234.0|41762.0|AK_72|AC_17|2300.0|1.0|132.0|1.0|9.0|25.0|0.0|0.0|0.0|8.0|5.0|3.0|6.0|4.0|0.0|0.0|38.0|3.0|
185.0|41762.0|AK_72|AC_17|2315.0|1.0|114.0|4.0|2.0|17.0|0.0|0.0|0.0|5.0|6.0|3.0|5.0|1.0|1.0|0.0|24.0|3.0|
193.0|41762.0|AK_72|AC_17|2330.0|1.0|116.0|1.0|1.0|29.0|0.0|0.0|0.0|5.0|4.0|3.0|6.0|0.0|1.0|2.0|23.0|2.0|
175.0|41762.0|AK_72|AC_17|2345.0|1.0|105.0|2.0|2.0|14.0|0.0|0.0|0.0|4.0|3.0|2.0|5.0|1.0|0.0|2.0|34.0|1.0|
150.0|41762.0|AK_72|AC_17|0.0|1.0|108.0|1.0|2.0|14.0|0.0|0.0|0.0|2.0|3.0|2.0|1.0|4.0|1.0|2.0|10.0|0.0|
158.0|41762.0|AK_72|AC_17|15.0|1.0|116.0|1.0|1.0|6.0|0.0|0.0|0.0|1.0|3.0|3.0|4.0|0.0|0.0|3.0|20.0|0.0|
149.0|41762.0|AK_72|AC_17|30.0|1.0|112.0|2.0|0.0|3.0|0.0|0.0|0.0|5.0|4.0|1.0|6.0|0.0|1.0|4.0|11.0|0.0|
134.0|41762.0|AK_72|AC_17|45.0|1.0|97.0|0.0|1.0|6.0|0.0|0.0|0.0|1.0|2.0|2.0|3.0|1.0|1.0|3.0|16.0|1.0|
97.0|41762.0|AK_72|AC_17|100.0|1.0|67.0|1.0|1.0|2.0|0.0|0.0|0.0|0.0|2.0|0.0|5.0|0.0|0.0|3.0|15.0|1.0|
