|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACION EN FORMATO DD/MM/AAA|VIA  ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|LOCALIZACION ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|PERIODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMOVILES|COLECTIVOS|BUSETA/BUSETON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUENO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACION
TOTAL MIXTOS|FECHA|VIA PRINCIPAL|VIA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
187.0|41895.0|AK_10|AC_19|2200.0|1.0|80.0|6.0|1.0|16.0|0.0|0.0|0.0|3.0|0.0|1.0|0.0|0.0|0.0|0.0|80.0|0.0|
173.0|41895.0|AK_10|AC_19|2215.0|1.0|65.0|5.0|4.0|19.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|78.0|1.0|
161.0|41895.0|AK_10|AC_19|2230.0|1.0|78.0|1.0|2.0|21.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|56.0|0.0|
138.0|41895.0|AK_10|AC_19|2245.0|1.0|64.0|2.0|0.0|18.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|51.0|1.0|
130.0|41895.0|AK_10|AC_19|2300.0|1.0|74.0|2.0|0.0|17.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|36.0|1.0|
136.0|41895.0|AK_10|AC_19|2315.0|1.0|83.0|2.0|0.0|21.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|30.0|0.0|
119.0|41895.0|AK_10|AC_19|2330.0|1.0|69.0|0.0|0.0|15.0|0.0|0.0|0.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|29.0|1.0|
131.0|41895.0|AK_10|AC_19|2345.0|1.0|87.0|2.0|0.0|11.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|31.0|0.0|
125.0|41895.0|AK_10|AC_19|0.0|1.0|84.0|3.0|2.0|10.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|25.0|0.0|
117.0|41895.0|AK_10|AC_19|15.0|1.0|78.0|2.0|1.0|6.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|27.0|1.0|
102.0|41895.0|AK_10|AC_19|30.0|1.0|75.0|1.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|22.0|0.0|
120.0|41895.0|AK_10|AC_19|45.0|1.0|96.0|2.0|0.0|6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|16.0|0.0|
115.0|41895.0|AK_10|AC_19|100.0|1.0|90.0|2.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20.0|0.0|
110.0|41895.0|AK_10|AC_19|115.0|1.0|88.0|0.0|1.0|4.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|15.0|0.0|
89.0|41895.0|AK_10|AC_19|130.0|1.0|69.0|3.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|14.0|0.0|
79.0|41895.0|AK_10|AC_19|145.0|1.0|65.0|2.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|9.0|0.0|
115.0|41895.0|AK_10|AC_19|200.0|1.0|105.0|1.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|5.0|0.0|
95.0|41895.0|AK_10|AC_19|215.0|1.0|85.0|2.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|4.0|0.0|
102.0|41895.0|AK_10|AC_19|230.0|1.0|91.0|2.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|0.0|
98.0|41895.0|AK_10|AC_19|245.0|1.0|90.0|0.0|0.0|3.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|
97.0|41895.0|AK_10|AC_19|300.0|1.0|89.0|1.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|
88.0|41895.0|AK_10|AC_19|315.0|1.0|80.0|2.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|3.0|0.0|
142.0|41895.0|AK_10|AC_19|330.0|1.0|135.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|3.0|0.0|
112.0|41895.0|AK_10|AC_19|345.0|1.0|105.0|1.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|
111.0|41895.0|AK_10|AC_19|400.0|1.0|98.0|1.0|2.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|6.0|0.0|
99.0|41895.0|AK_10|AC_19|415.0|1.0|89.0|0.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|5.0|0.0|
93.0|41895.0|AK_10|AC_19|430.0|1.0|81.0|0.0|1.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|7.0|0.0|
100.0|41895.0|AK_10|AC_19|445.0|1.0|86.0|2.0|0.0|2.0|0.0|0.0|0.0|2.0|1.0|0.0|0.0|0.0|0.0|0.0|6.0|1.0|
93.0|41895.0|AK_10|AC_19|500.0|1.0|71.0|2.0|0.0|5.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|10.0|2.0|
102.0|41895.0|AK_10|AC_19|515.0|1.0|75.0|2.0|1.0|12.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|11.0|0.0|
123.0|41895.0|AK_10|AC_19|530.0|1.0|83.0|6.0|4.0|16.0|0.0|0.0|0.0|0.0|0.0|1.0|3.0|0.0|0.0|0.0|8.0|2.0|
141.0|41895.0|AK_10|AC_19|545.0|1.0|77.0|7.0|1.0|26.0|0.0|0.0|0.0|4.0|1.0|1.0|0.0|0.0|0.0|0.0|23.0|1.0|
153.0|41895.0|AK_10|AC_19|600.0|1.0|68.0|8.0|3.0|27.0|0.0|0.0|0.0|1.0|0.0|0.0|3.0|0.0|0.0|0.0|38.0|5.0|
183.0|41895.0|AK_10|AC_19|615.0|1.0|65.0|9.0|2.0|45.0|0.0|0.0|0.0|1.0|0.0|0.0|2.0|0.0|0.0|0.0|54.0|5.0|
146.0|41895.0|AK_10|AC_19|630.0|1.0|52.0|3.0|6.0|38.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|39.0|7.0|
165.0|41895.0|AK_10|AC_19|645.0|1.0|62.0|10.0|3.0|35.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|45.0|8.0|
179.0|41895.0|AK_10|AC_19|700.0|1.0|70.0|10.0|8.0|48.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|2.0|0.0|0.0|38.0|1.0|
143.0|41895.0|AK_10|AC_19|715.0|1.0|59.0|8.0|7.0|32.0|0.0|0.0|0.0|1.0|0.0|0.0|3.0|0.0|0.0|0.0|29.0|4.0|
170.0|41895.0|AK_10|AC_19|730.0|1.0|71.0|10.0|9.0|47.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|29.0|3.0|
140.0|41895.0|AK_10|AC_19|745.0|1.0|46.0|6.0|6.0|45.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|3.0|0.0|0.0|31.0|2.0|
144.0|41895.0|AK_10|AC_19|800.0|1.0|62.0|8.0|8.0|40.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|4.0|0.0|0.0|18.0|2.0|
163.0|41895.0|AK_10|AC_19|815.0|1.0|60.0|6.0|7.0|57.0|0.0|0.0|0.0|0.0|0.0|2.0|1.0|0.0|0.0|0.0|26.0|4.0|
168.0|41895.0|AK_10|AC_19|830.0|1.0|75.0|14.0|4.0|40.0|0.0|0.0|0.0|1.0|0.0|2.0|0.0|0.0|0.0|0.0|29.0|3.0|
162.0|41895.0|AK_10|AC_19|845.0|1.0|65.0|10.0|5.0|42.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|36.0|2.0|
181.0|41895.0|AK_10|AC_19|900.0|1.0|88.0|10.0|10.0|46.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|24.0|2.0|
