|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
215.0|41783.0|AC_60A_S|KR_19C|500.0|1.0|146.0|6.0|3.0|15.0|0.0|0.0|0.0|2.0|1.0|1.0|3.0|8.0|1.0|8.0|18.0|3.0|
228.0|41783.0|AC_60A_S|KR_19C|515.0|1.0|148.0|10.0|5.0|6.0|0.0|0.0|0.0|1.0|7.0|0.0|15.0|7.0|3.0|6.0|19.0|1.0|
299.0|41783.0|AC_60A_S|KR_19C|530.0|1.0|149.0|17.0|9.0|16.0|0.0|0.0|0.0|9.0|4.0|5.0|25.0|6.0|5.0|7.0|46.0|1.0|
300.0|41783.0|AC_60A_S|KR_19C|545.0|1.0|160.0|9.0|10.0|9.0|0.0|0.0|0.0|5.0|4.0|5.0|18.0|3.0|8.0|6.0|56.0|7.0|
357.0|41783.0|AC_60A_S|KR_19C|600.0|1.0|170.0|15.0|6.0|16.0|0.0|0.0|0.0|7.0|5.0|4.0|30.0|10.0|3.0|7.0|81.0|3.0|
436.0|41783.0|AC_60A_S|KR_19C|615.0|1.0|202.0|15.0|7.0|12.0|0.0|0.0|0.0|7.0|6.0|0.0|18.0|11.0|4.0|2.0|139.0|13.0|
513.0|41783.0|AC_60A_S|KR_19C|630.0|1.0|198.0|12.0|9.0|14.0|0.0|0.0|0.0|6.0|5.0|12.0|29.0|15.0|5.0|5.0|189.0|14.0|
483.0|41783.0|AC_60A_S|KR_19C|645.0|1.0|230.0|10.0|10.0|17.0|0.0|0.0|0.0|1.0|4.0|5.0|16.0|6.0|6.0|3.0|157.0|18.0|
557.0|41783.0|AC_60A_S|KR_19C|700.0|1.0|296.0|12.0|7.0|20.0|0.0|0.0|0.0|4.0|7.0|0.0|25.0|10.0|5.0|6.0|154.0|11.0|AUMENTA VOLUMEN DE LIVIANOS
564.0|41783.0|AC_60A_S|KR_19C|715.0|1.0|327.0|10.0|6.0|22.0|0.0|0.0|0.0|6.0|7.0|8.0|20.0|14.0|4.0|8.0|122.0|10.0|
547.0|41783.0|AC_60A_S|KR_19C|730.0|1.0|331.0|9.0|6.0|20.0|0.0|0.0|0.0|4.0|5.0|5.0|30.0|10.0|3.0|4.0|112.0|8.0|
542.0|41783.0|AC_60A_S|KR_19C|745.0|1.0|329.0|13.0|8.0|20.0|0.0|0.0|0.0|3.0|4.0|3.0|20.0|16.0|3.0|6.0|110.0|7.0|
507.0|41783.0|AC_60A_S|KR_19C|800.0|1.0|279.0|11.0|5.0|22.0|0.0|0.0|0.0|4.0|7.0|15.0|22.0|24.0|4.0|3.0|108.0|3.0|
497.0|41783.0|AC_60A_S|KR_19C|815.0|1.0|303.0|12.0|8.0|17.0|0.0|0.0|0.0|6.0|8.0|3.0|17.0|17.0|0.0|7.0|91.0|8.0|
519.0|41783.0|AC_60A_S|KR_19C|830.0|1.0|305.0|13.0|6.0|19.0|0.0|0.0|0.0|4.0|6.0|10.0|28.0|31.0|7.0|3.0|82.0|5.0|
513.0|41783.0|AC_60A_S|KR_19C|845.0|1.0|295.0|16.0|8.0|15.0|0.0|0.0|0.0|4.0|10.0|3.0|24.0|25.0|2.0|5.0|101.0|5.0|
488.0|41783.0|AC_60A_S|KR_19C|900.0|1.0|278.0|11.0|8.0|25.0|0.0|0.0|0.0|2.0|5.0|2.0|25.0|32.0|0.0|3.0|95.0|2.0|
567.0|41783.0|AC_60A_S|KR_19C|915.0|1.0|320.0|12.0|12.0|15.0|0.0|0.0|0.0|2.0|8.0|4.0|32.0|37.0|9.0|5.0|108.0|3.0|
547.0|41783.0|AC_60A_S|KR_19C|930.0|1.0|324.0|11.0|6.0|17.0|0.0|0.0|0.0|3.0|6.0|11.0|35.0|26.0|3.0|9.0|94.0|2.0|
562.0|41783.0|AC_60A_S|KR_19C|945.0|1.0|330.0|15.0|11.0|20.0|0.0|0.0|0.0|6.0|4.0|5.0|27.0|30.0|4.0|5.0|102.0|3.0|
462.0|41783.0|AC_60A_S|KR_19C|1000.0|1.0|233.0|9.0|14.0|14.0|0.0|0.0|0.0|9.0|6.0|4.0|30.0|37.0|2.0|5.0|97.0|2.0|BAJA VOLUMEN DE LIVIANOS
473.0|41783.0|AC_60A_S|KR_19C|1015.0|1.0|237.0|14.0|12.0|17.0|0.0|0.0|0.0|7.0|9.0|4.0|34.0|37.0|7.0|6.0|86.0|3.0|
585.0|41783.0|AC_60A_S|KR_19C|1030.0|1.0|350.0|8.0|11.0|20.0|0.0|0.0|0.0|3.0|4.0|1.0|23.0|31.0|7.0|3.0|121.0|3.0|AUMENTA VOLUMEN DE LIVIANOS
550.0|41783.0|AC_60A_S|KR_19C|1045.0|1.0|331.0|11.0|10.0|11.0|0.0|0.0|0.0|2.0|5.0|4.0|33.0|21.0|7.0|3.0|108.0|4.0|
660.0|41783.0|AC_60A_S|KR_19C|1100.0|1.0|369.0|13.0|6.0|16.0|0.0|0.0|0.0|6.0|9.0|7.0|23.0|37.0|3.0|4.0|162.0|5.0|AUMENTA VOLUMEN DE MOTOS
586.0|41783.0|AC_60A_S|KR_19C|1115.0|1.0|323.0|12.0|13.0|23.0|0.0|0.0|0.0|3.0|8.0|4.0|30.0|32.0|5.0|6.0|125.0|2.0|
599.0|41783.0|AC_60A_S|KR_19C|1130.0|1.0|322.0|14.0|8.0|21.0|0.0|0.0|0.0|11.0|10.0|5.0|27.0|32.0|2.0|6.0|138.0|3.0|
632.0|41783.0|AC_60A_S|KR_19C|1145.0|1.0|366.0|6.0|7.0|13.0|0.0|0.0|0.0|4.0|3.0|9.0|33.0|25.0|2.0|7.0|156.0|1.0|
670.0|41783.0|AC_60A_S|KR_19C|1200.0|1.0|369.0|13.0|11.0|19.0|0.0|0.0|0.0|4.0|4.0|5.0|31.0|31.0|9.0|9.0|162.0|3.0|
606.0|41783.0|AC_60A_S|KR_19C|1215.0|1.0|340.0|8.0|8.0|10.0|0.0|0.0|0.0|10.0|5.0|1.0|19.0|12.0|2.0|4.0|184.0|3.0|
623.0|41783.0|AC_60A_S|KR_19C|1230.0|1.0|320.0|13.0|6.0|14.0|0.0|0.0|0.0|4.0|7.0|0.0|19.0|9.0|3.0|3.0|217.0|8.0|
672.0|41783.0|AC_60A_S|KR_19C|1245.0|1.0|370.0|9.0|6.0|15.0|0.0|0.0|0.0|5.0|4.0|2.0|24.0|10.0|5.0|5.0|203.0|14.0|
