|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
239.0|41772.0|AK_7|AC_127|2200.0|1.0|186.0|2.0|9.0|9.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|32.0|0.0|
193.0|41772.0|AK_7|AC_127|2215.0|1.0|155.0|0.0|5.0|9.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|24.0|0.0|
156.0|41772.0|AK_7|AC_127|2230.0|1.0|128.0|0.0|3.0|9.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|14.0|0.0|
143.0|41772.0|AK_7|AC_127|2245.0|1.0|104.0|2.0|7.0|6.0|0.0|0.0|0.0|3.0|0.0|2.0|0.0|1.0|0.0|0.0|17.0|1.0|
114.0|41772.0|AK_7|AC_127|2300.0|1.0|95.0|0.0|6.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0|0.0|
111.0|41772.0|AK_7|AC_127|2315.0|1.0|92.0|0.0|6.0|4.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|7.0|0.0|
98.0|41772.0|AK_7|AC_127|2330.0|1.0|75.0|1.0|4.0|8.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|9.0|0.0|
81.0|41772.0|AK_7|AC_127|2345.0|1.0|72.0|0.0|1.0|3.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|
40.0|41772.0|AK_7|AC_127|0.0|1.0|35.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|1.0|
39.0|41772.0|AK_7|AC_127|15.0|1.0|30.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|5.0|1.0|
38.0|41772.0|AK_7|AC_127|30.0|1.0|32.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|4.0|0.0|
35.0|41772.0|AK_7|AC_127|45.0|1.0|30.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|
30.0|41772.0|AK_7|AC_127|100.0|1.0|26.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|
26.0|41772.0|AK_7|AC_127|115.0|1.0|23.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
24.0|41772.0|AK_7|AC_127|130.0|1.0|21.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|
18.0|41772.0|AK_7|AC_127|145.0|1.0|16.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
19.0|41772.0|AK_7|AC_127|200.0|1.0|12.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|1.0|0.0|0.0|0.0|0.0|4.0|0.0|
20.0|41772.0|AK_7|AC_127|215.0|1.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|
15.0|41772.0|AK_7|AC_127|230.0|1.0|12.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
15.0|41772.0|AK_7|AC_127|245.0|1.0|11.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|
17.0|41772.0|AK_7|AC_127|300.0|1.0|9.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|5.0|0.0|
11.0|41772.0|AK_7|AC_127|315.0|1.0|8.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|2.0|0.0|
26.0|41772.0|AK_7|AC_127|330.0|1.0|14.0|1.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|3.0|0.0|0.0|4.0|0.0|
24.0|41772.0|AK_7|AC_127|345.0|1.0|15.0|1.0|3.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|
36.0|41772.0|AK_7|AC_127|400.0|1.0|28.0|0.0|3.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|3.0|0.0|
40.0|41772.0|AK_7|AC_127|415.0|1.0|17.0|0.0|9.0|2.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|4.0|0.0|0.0|5.0|1.0|
50.0|41772.0|AK_7|AC_127|430.0|1.0|28.0|0.0|6.0|3.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|5.0|0.0|0.0|5.0|1.0|
85.0|41772.0|AK_7|AC_127|445.0|1.0|42.0|0.0|16.0|11.0|0.0|0.0|0.0|5.0|0.0|0.0|2.0|2.0|0.0|1.0|6.0|0.0|
114.0|41772.0|AK_7|AC_127|500.0|1.0|59.0|3.0|14.0|12.0|0.0|0.0|0.0|14.0|0.0|0.0|0.0|1.0|0.0|0.0|7.0|4.0|
235.0|41772.0|AK_7|AC_127|515.0|1.0|160.0|2.0|11.0|16.0|0.0|0.0|0.0|18.0|0.0|0.0|2.0|0.0|0.0|0.0|24.0|2.0|
457.0|41772.0|AK_7|AC_127|530.0|1.0|348.0|2.0|7.0|17.0|0.0|0.0|0.0|36.0|0.0|0.0|9.0|3.0|1.0|0.0|31.0|3.0|
539.0|41772.0|AK_7|AC_127|545.0|1.0|402.0|3.0|18.0|21.0|0.0|0.0|0.0|58.0|0.0|2.0|4.0|4.0|0.0|0.0|21.0|6.0|
557.0|41772.0|AK_7|AC_127|600.0|1.0|407.0|2.0|12.0|34.0|0.0|0.0|0.0|39.0|0.0|0.0|10.0|1.0|0.0|0.0|45.0|7.0|
572.0|41772.0|AK_7|AC_127|615.0|1.0|436.0|5.0|8.0|30.0|0.0|0.0|0.0|20.0|0.0|0.0|7.0|2.0|0.0|0.0|52.0|12.0|
