|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
501.0|41690.0|AK_45|AC_170|2200.0|1.0|371.0|2.0|5.0|3.0|17.0|7.0|7.0|6.0|5.0|2.0|39.0|3.0|5.0|7.0|22.0|0.0|
501.0|41690.0|AK_45|AC_170|2215.0|1.0|386.0|3.0|6.0|9.0|24.0|4.0|4.0|3.0|3.0|1.0|24.0|4.0|2.0|4.0|24.0|0.0|
414.0|41690.0|AK_45|AC_170|2230.0|1.0|296.0|3.0|6.0|7.0|19.0|6.0|6.0|4.0|14.0|1.0|25.0|1.0|1.0|4.0|21.0|0.0|
392.0|41690.0|AK_45|AC_170|2245.0|1.0|294.0|1.0|9.0|3.0|16.0|4.0|2.0|4.0|12.0|1.0|19.0|2.0|4.0|5.0|16.0|0.0|
294.0|41690.0|AK_45|AC_170|2300.0|1.0|182.0|1.0|14.0|1.0|5.0|17.0|5.0|3.0|4.0|1.0|27.0|2.0|5.0|5.0|22.0|0.0|
250.0|41690.0|AK_45|AC_170|2315.0|1.0|174.0|1.0|8.0|5.0|4.0|3.0|1.0|0.0|2.0|1.0|18.0|4.0|2.0|3.0|24.0|0.0|
260.0|41690.0|AK_45|AC_170|2330.0|1.0|177.0|0.0|7.0|0.0|5.0|5.0|0.0|4.0|3.0|1.0|29.0|2.0|1.0|5.0|21.0|0.0|
139.0|41690.0|AK_45|AC_170|2345.0|1.0|70.0|0.0|10.0|0.0|4.0|4.0|0.0|2.0|0.0|0.0|20.0|1.0|5.0|7.0|16.0|0.0|
198.0|41690.0|AK_45|AC_170|0.0|1.0|123.0|0.0|7.0|1.0|6.0|1.0|0.0|2.0|2.0|0.0|23.0|1.0|4.0|3.0|25.0|0.0|
154.0|41690.0|AK_45|AC_170|15.0|1.0|83.0|0.0|1.0|0.0|4.0|2.0|0.0|2.0|1.0|1.0|33.0|0.0|0.0|1.0|26.0|0.0|
145.0|41690.0|AK_45|AC_170|30.0|1.0|76.0|0.0|1.0|1.0|6.0|0.0|0.0|7.0|5.0|1.0|24.0|0.0|0.0|4.0|20.0|0.0|
137.0|41690.0|AK_45|AC_170|45.0|1.0|71.0|0.0|3.0|0.0|2.0|0.0|0.0|3.0|0.0|1.0|25.0|0.0|3.0|3.0|26.0|0.0|
83.0|41690.0|AK_45|AC_170|100.0|1.0|47.0|0.0|2.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|14.0|3.0|1.0|3.0|12.0|0.0|
