|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
232.0|41837.0|KR_13|AC_53|600.0|1.0|120.0|19.0|26.0|21.0|0.0|0.0|0.0|6.0|0.0|2.0|1.0|0.0|0.0|0.0|36.0|1.0|
260.0|41837.0|KR_13|AC_53|615.0|1.0|142.0|25.0|20.0|19.0|0.0|0.0|0.0|6.0|0.0|1.0|1.0|0.0|0.0|0.0|46.0|0.0|
326.0|41837.0|KR_13|AC_53|630.0|1.0|188.0|30.0|25.0|28.0|0.0|0.0|0.0|4.0|0.0|1.0|0.0|0.0|0.0|0.0|48.0|2.0|
368.0|41837.0|KR_13|AC_53|645.0|1.0|235.0|17.0|32.0|25.0|0.0|0.0|0.0|5.0|0.0|0.0|5.0|0.0|0.0|0.0|48.0|1.0|
391.0|41837.0|KR_13|AC_53|700.0|1.0|248.0|34.0|25.0|22.0|0.0|0.0|0.0|4.0|0.0|3.0|2.0|0.0|0.0|0.0|52.0|1.0|
354.0|41837.0|KR_13|AC_53|715.0|1.0|222.0|20.0|26.0|26.0|0.0|0.0|0.0|2.0|0.0|2.0|5.0|0.0|0.0|0.0|51.0|0.0|
232.0|41837.0|KR_13|AC_53|730.0|1.0|139.0|12.0|29.0|11.0|0.0|0.0|0.0|2.0|0.0|2.0|4.0|0.0|0.0|0.0|30.0|3.0|7:30-8:00 CONGESTIÓN VEHICULAR.
340.0|41837.0|KR_13|AC_53|745.0|1.0|181.0|33.0|34.0|34.0|0.0|0.0|0.0|5.0|0.0|3.0|3.0|0.0|0.0|0.0|47.0|0.0|7:30-8:00 CONGESTIÓN VEHICULAR. DATO DE COLECTIVO Y BUSES NO DIFIERE CON FORMATO DE CAMPO.
351.0|41837.0|KR_13|AC_53|800.0|1.0|213.0|22.0|31.0|24.0|0.0|0.0|0.0|3.0|0.0|0.0|5.0|0.0|0.0|0.0|51.0|2.0|
337.0|41837.0|KR_13|AC_53|815.0|1.0|205.0|14.0|35.0|29.0|0.0|0.0|0.0|1.0|0.0|6.0|1.0|0.0|0.0|0.0|45.0|1.0|
350.0|41837.0|KR_13|AC_53|830.0|1.0|217.0|18.0|33.0|32.0|0.0|0.0|0.0|3.0|0.0|2.0|6.0|0.0|0.0|0.0|39.0|0.0|
358.0|41837.0|KR_13|AC_53|845.0|1.0|206.0|24.0|25.0|36.0|0.0|0.0|0.0|1.0|0.0|5.0|7.0|0.0|0.0|0.0|52.0|2.0|
