|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACION EN FORMATO DD/MM/AAA|VIA  ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|LOCALIZACION ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|PERIODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMOVILES|COLECTIVOS|BUSETA/BUSETON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUENO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACION
TOTAL MIXTOS|FECHA|VIA PRINCIPAL|VIA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
80.0|41899.0|AC_26|TV_93|2200.0|1.0|45.0|8.0|4.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|5.0|14.0|
72.0|41899.0|AC_26|TV_93|2215.0|1.0|43.0|7.0|4.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|8.0|6.0|
52.0|41899.0|AC_26|TV_93|2230.0|1.0|33.0|3.0|4.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|4.0|0.0|0.0|0.0|3.0|2.0|
52.0|41899.0|AC_26|TV_93|2245.0|1.0|41.0|3.0|3.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|
41.0|41899.0|AC_26|TV_93|2300.0|1.0|23.0|4.0|7.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|4.0|0.0|
22.0|41899.0|AC_26|TV_93|2315.0|1.0|19.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|
18.0|41899.0|AC_26|TV_93|2330.0|1.0|15.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|
23.0|41899.0|AC_26|TV_93|2345.0|1.0|15.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|1.0|0.0|0.0|0.0|2.0|2.0|
20.0|41899.0|AC_26|TV_93|0.0|1.0|13.0|2.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|
10.0|41899.0|AC_26|TV_93|15.0|1.0|7.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|
13.0|41899.0|AC_26|TV_93|30.0|1.0|9.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|
13.0|41899.0|AC_26|TV_93|45.0|1.0|11.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|
7.0|41899.0|AC_26|TV_93|100.0|1.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|
7.0|41899.0|AC_26|TV_93|115.0|1.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|
9.0|41899.0|AC_26|TV_93|130.0|1.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|
9.0|41899.0|AC_26|TV_93|145.0|1.0|7.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
11.0|41899.0|AC_26|TV_93|200.0|1.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|4.0|0.0|0.0|0.0|1.0|0.0|
16.0|41899.0|AC_26|TV_93|215.0|1.0|8.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|0.0|0.0|2.0|2.0|
11.0|41899.0|AC_26|TV_93|230.0|1.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|4.0|0.0|0.0|0.0|2.0|0.0|
9.0|41899.0|AC_26|TV_93|245.0|1.0|7.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|
18.0|41899.0|AC_26|TV_93|300.0|1.0|10.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|2.0|1.0|0.0|0.0|3.0|0.0|
16.0|41899.0|AC_26|TV_93|315.0|1.0|10.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|2.0|
35.0|41899.0|AC_26|TV_93|330.0|1.0|19.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|0.0|0.0|2.0|0.0|0.0|0.0|4.0|3.0|
35.0|41899.0|AC_26|TV_93|345.0|1.0|16.0|1.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0|7.0|
35.0|41899.0|AC_26|TV_93|400.0|1.0|25.0|2.0|2.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|4.0|
69.0|41899.0|AC_26|TV_93|415.0|1.0|47.0|4.0|5.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|5.0|5.0|
72.0|41899.0|AC_26|TV_93|430.0|1.0|39.0|4.0|5.0|1.0|0.0|0.0|0.0|4.0|0.0|0.0|1.0|0.0|0.0|0.0|13.0|5.0|
114.0|41899.0|AC_26|TV_93|445.0|1.0|69.0|11.0|5.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|4.0|0.0|0.0|0.0|10.0|12.0|
71.0|41899.0|AC_26|TV_93|500.0|1.0|35.0|3.0|6.0|3.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|0.0|8.0|13.0|
211.0|41899.0|AC_26|TV_93|515.0|1.0|49.0|12.0|6.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|17.0|125.0|A LAS 5:15 SUBE VOLUMEN BICICLETAS
234.0|41899.0|AC_26|TV_93|530.0|1.0|74.0|6.0|6.0|2.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|14.0|131.0|
308.0|41899.0|AC_26|TV_93|545.0|1.0|98.0|11.0|7.0|2.0|0.0|0.0|0.0|0.0|0.0|1.0|2.0|0.0|0.0|0.0|24.0|163.0|
386.0|41899.0|AC_26|TV_93|600.0|1.0|122.0|12.0|3.0|3.0|0.0|0.0|0.0|1.0|0.0|2.0|1.0|2.0|0.0|0.0|24.0|216.0|
428.0|41899.0|AC_26|TV_93|615.0|1.0|122.0|12.0|9.0|6.0|0.0|0.0|0.0|0.0|0.0|1.0|5.0|1.0|0.0|0.0|23.0|249.0|
425.0|41899.0|AC_26|TV_93|630.0|1.0|125.0|11.0|2.0|3.0|0.0|0.0|0.0|1.0|0.0|4.0|6.0|0.0|0.0|0.0|35.0|238.0|
396.0|41899.0|AC_26|TV_93|645.0|1.0|125.0|14.0|3.0|4.0|0.0|0.0|0.0|2.0|0.0|0.0|7.0|1.0|0.0|0.0|55.0|185.0|
370.0|41899.0|AC_26|TV_93|700.0|1.0|108.0|14.0|8.0|3.0|0.0|0.0|0.0|2.0|0.0|1.0|10.0|2.0|0.0|0.0|66.0|156.0|
349.0|41899.0|AC_26|TV_93|715.0|1.0|131.0|13.0|3.0|1.0|0.0|0.0|0.0|5.0|0.0|4.0|3.0|0.0|0.0|0.0|33.0|156.0|
341.0|41899.0|AC_26|TV_93|730.0|1.0|136.0|14.0|4.0|2.0|0.0|0.0|0.0|1.0|0.0|1.0|5.0|2.0|0.0|0.0|45.0|131.0|
291.0|41899.0|AC_26|TV_93|745.0|1.0|116.0|17.0|8.0|3.0|0.0|0.0|0.0|2.0|0.0|0.0|6.0|0.0|0.0|0.0|40.0|99.0|
238.0|41899.0|AC_26|TV_93|800.0|1.0|122.0|19.0|8.0|1.0|0.0|0.0|0.0|3.0|0.0|1.0|8.0|0.0|0.0|0.0|22.0|54.0|
199.0|41899.0|AC_26|TV_93|815.0|1.0|104.0|14.0|8.0|2.0|0.0|0.0|0.0|2.0|0.0|6.0|4.0|0.0|0.0|0.0|18.0|41.0|
197.0|41899.0|AC_26|TV_93|830.0|1.0|109.0|11.0|6.0|2.0|0.0|0.0|0.0|1.0|0.0|3.0|6.0|1.0|0.0|0.0|26.0|32.0|
187.0|41899.0|AC_26|TV_93|845.0|1.0|111.0|11.0|6.0|1.0|0.0|0.0|0.0|0.0|0.0|2.0|4.0|0.0|1.0|2.0|14.0|35.0|
