|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
536.0|41794.0|AK_86|AC_72|600.0|1.0|238.0|21.0|8.0|26.0|0.0|0.0|0.0|8.0|2.0|8.0|15.0|0.0|1.0|3.0|182.0|24.0|
693.0|41794.0|AK_86|AC_72|615.0|1.0|256.0|25.0|13.0|32.0|0.0|0.0|0.0|14.0|0.0|5.0|15.0|2.0|1.0|0.0|304.0|26.0|
807.0|41794.0|AK_86|AC_72|630.0|1.0|278.0|23.0|10.0|28.0|0.0|0.0|0.0|2.0|0.0|9.0|29.0|0.0|1.0|0.0|404.0|23.0|632 FLUJO LENTO POR TRANCÓN.
620.0|41794.0|AK_86|AC_72|645.0|1.0|241.0|17.0|8.0|20.0|0.0|0.0|0.0|9.0|1.0|4.0|19.0|0.0|0.0|0.0|291.0|10.0|
596.0|41794.0|AK_86|AC_72|700.0|1.0|253.0|31.0|6.0|41.0|0.0|0.0|0.0|4.0|2.0|6.0|15.0|1.0|0.0|0.0|229.0|8.0|
546.0|41794.0|AK_86|AC_72|715.0|1.0|211.0|19.0|10.0|29.0|0.0|0.0|0.0|4.0|0.0|5.0|10.0|0.0|0.0|0.0|247.0|11.0|
565.0|41794.0|AK_86|AC_72|730.0|1.0|245.0|25.0|9.0|34.0|0.0|0.0|0.0|5.0|1.0|5.0|9.0|1.0|0.0|0.0|225.0|6.0|
639.0|41794.0|AK_86|AC_72|745.0|1.0|279.0|25.0|10.0|46.0|0.0|0.0|0.0|1.0|2.0|10.0|22.0|0.0|0.0|0.0|237.0|7.0|
396.0|41794.0|AK_86|AC_72|800.0|1.0|175.0|18.0|12.0|23.0|1.0|0.0|0.0|4.0|0.0|6.0|17.0|2.0|1.0|0.0|129.0|8.0|805 FLUJO LENTO POR TRANCÓN.
429.0|41794.0|AK_86|AC_72|815.0|1.0|210.0|25.0|13.0|36.0|0.0|0.0|0.0|9.0|0.0|6.0|15.0|2.0|1.0|0.0|110.0|2.0|
435.0|41794.0|AK_86|AC_72|830.0|1.0|234.0|14.0|15.0|26.0|1.0|0.0|0.0|9.0|0.0|5.0|16.0|2.0|2.0|0.0|102.0|9.0|
440.0|41794.0|AK_86|AC_72|845.0|1.0|249.0|13.0|6.0|24.0|0.0|0.0|0.0|9.0|0.0|12.0|21.0|0.0|0.0|0.0|104.0|2.0|
440.0|41794.0|AK_86|AC_72|1700.0|1.0|185.0|15.0|6.0|35.0|0.0|0.0|0.0|7.0|0.0|7.0|29.0|1.0|0.0|1.0|137.0|17.0|
470.0|41794.0|AK_86|AC_72|1715.0|1.0|172.0|28.0|10.0|29.0|0.0|0.0|0.0|3.0|0.0|14.0|24.0|0.0|1.0|2.0|177.0|10.0|
479.0|41794.0|AK_86|AC_72|1730.0|1.0|176.0|21.0|10.0|32.0|0.0|0.0|0.0|1.0|1.0|6.0|23.0|1.0|1.0|1.0|179.0|27.0|
468.0|41794.0|AK_86|AC_72|1745.0|1.0|182.0|19.0|6.0|21.0|0.0|0.0|0.0|9.0|0.0|6.0|20.0|0.0|0.0|0.0|185.0|20.0|
426.0|41794.0|AK_86|AC_72|1800.0|1.0|169.0|18.0|12.0|20.0|0.0|0.0|0.0|6.0|1.0|6.0|13.0|1.0|0.0|1.0|166.0|13.0|
464.0|41794.0|AK_86|AC_72|1815.0|1.0|186.0|22.0|10.0|17.0|0.0|0.0|0.0|10.0|0.0|7.0|16.0|3.0|0.0|2.0|173.0|18.0|
398.0|41794.0|AK_86|AC_72|1830.0|1.0|151.0|16.0|7.0|26.0|0.0|0.0|0.0|7.0|1.0|11.0|22.0|0.0|0.0|0.0|149.0|8.0|
392.0|41794.0|AK_86|AC_72|1845.0|1.0|178.0|15.0|8.0|24.0|0.0|0.0|0.0|4.0|0.0|13.0|21.0|1.0|0.0|0.0|118.0|10.0|
351.0|41794.0|AK_86|AC_72|1900.0|1.0|157.0|16.0|9.0|23.0|0.0|0.0|0.0|8.0|0.0|13.0|17.0|0.0|0.0|0.0|101.0|7.0|
395.0|41794.0|AK_86|AC_72|1915.0|1.0|188.0|14.0|12.0|33.0|1.0|0.0|0.0|6.0|0.0|7.0|18.0|1.0|0.0|0.0|105.0|10.0|
356.0|41794.0|AK_86|AC_72|1930.0|1.0|198.0|9.0|5.0|22.0|0.0|0.0|0.0|4.0|0.0|4.0|8.0|1.0|2.0|1.0|101.0|1.0|
374.0|41794.0|AK_86|AC_72|1945.0|1.0|202.0|11.0|7.0|20.0|0.0|0.0|0.0|4.0|0.0|6.0|10.0|1.0|4.0|1.0|103.0|5.0|
347.0|41794.0|AK_86|AC_72|600.0|2.0|189.0|16.0|5.0|6.0|0.0|0.0|0.0|31.0|0.0|3.0|15.0|5.0|0.0|0.0|61.0|16.0|
415.0|41794.0|AK_86|AC_72|615.0|2.0|212.0|18.0|3.0|17.0|0.0|0.0|0.0|25.0|0.0|6.0|13.0|3.0|0.0|0.0|101.0|17.0|
528.0|41794.0|AK_86|AC_72|630.0|2.0|209.0|14.0|0.0|23.0|0.0|0.0|0.0|25.0|0.0|12.0|28.0|4.0|1.0|0.0|200.0|12.0|
503.0|41794.0|AK_86|AC_72|645.0|2.0|189.0|16.0|2.0|15.0|0.0|0.0|0.0|22.0|0.0|5.0|12.0|5.0|0.0|2.0|220.0|15.0|
496.0|41794.0|AK_86|AC_72|700.0|2.0|176.0|16.0|1.0|25.0|0.0|0.0|0.0|11.0|0.0|16.0|21.0|5.0|0.0|0.0|217.0|8.0|
517.0|41794.0|AK_86|AC_72|715.0|2.0|204.0|8.0|1.0|11.0|0.0|0.0|0.0|14.0|0.0|15.0|27.0|1.0|0.0|1.0|233.0|2.0|
519.0|41794.0|AK_86|AC_72|730.0|2.0|219.0|14.0|1.0|20.0|0.0|0.0|0.0|20.0|0.0|11.0|25.0|2.0|0.0|0.0|200.0|7.0|
508.0|41794.0|AK_86|AC_72|745.0|2.0|213.0|15.0|4.0|13.0|0.0|0.0|0.0|9.0|0.0|10.0|28.0|1.0|0.0|0.0|211.0|4.0|
512.0|41794.0|AK_86|AC_72|800.0|2.0|210.0|23.0|1.0|22.0|0.0|0.0|0.0|9.0|0.0|15.0|40.0|1.0|0.0|0.0|187.0|4.0|
449.0|41794.0|AK_86|AC_72|815.0|2.0|225.0|12.0|4.0|19.0|0.0|0.0|0.0|6.0|0.0|18.0|34.0|5.0|2.0|2.0|120.0|2.0|
