|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
260.0|41713.0|AC_68_S|AK_51|2200.0|1.0|124.0|17.0|12.0|9.0|0.0|2.0|0.0|2.0|1.0|3.0|7.0|1.0|3.0|2.0|75.0|2.0|
272.0|41713.0|AC_68_S|AK_51|2215.0|1.0|131.0|28.0|7.0|5.0|0.0|1.0|0.0|1.0|1.0|1.0|7.0|0.0|1.0|0.0|82.0|7.0|
259.0|41713.0|AC_68_S|AK_51|2230.0|1.0|118.0|18.0|5.0|10.0|0.0|3.0|0.0|1.0|1.0|1.0|5.0|1.0|1.0|3.0|90.0|2.0|
211.0|41713.0|AC_68_S|AK_51|2245.0|1.0|98.0|22.0|5.0|7.0|1.0|5.0|1.0|2.0|1.0|1.0|5.0|0.0|1.0|0.0|59.0|3.0|BAJA FLUJO DE MOTOS A LAS 22:45
207.0|41713.0|AC_68_S|AK_51|2300.0|1.0|102.0|16.0|13.0|3.0|0.0|5.0|0.0|3.0|2.0|0.0|4.0|1.0|0.0|0.0|58.0|0.0|
167.0|41713.0|AC_68_S|AK_51|2315.0|1.0|89.0|11.0|2.0|2.0|1.0|4.0|1.0|2.0|0.0|3.0|3.0|0.0|2.0|1.0|44.0|2.0|
124.0|41713.0|AC_68_S|AK_51|2330.0|1.0|72.0|6.0|2.0|2.0|1.0|3.0|1.0|5.0|0.0|1.0|1.0|1.0|0.0|0.0|29.0|0.0|
123.0|41713.0|AC_68_S|AK_51|2345.0|1.0|58.0|9.0|2.0|5.0|0.0|12.0|0.0|5.0|0.0|0.0|2.0|2.0|0.0|4.0|24.0|0.0|
126.0|41713.0|AC_68_S|AK_51|0.0|1.0|58.0|4.0|1.0|2.0|1.0|1.0|0.0|1.0|0.0|2.0|3.0|5.0|0.0|2.0|46.0|0.0|
102.0|41713.0|AC_68_S|AK_51|15.0|1.0|61.0|4.0|2.0|4.0|3.0|2.0|0.0|1.0|0.0|1.0|1.0|2.0|0.0|0.0|21.0|0.0|
89.0|41713.0|AC_68_S|AK_51|30.0|1.0|44.0|1.0|2.0|1.0|1.0|0.0|0.0|2.0|0.0|0.0|2.0|3.0|0.0|0.0|33.0|0.0|
83.0|41713.0|AC_68_S|AK_51|45.0|1.0|46.0|4.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|30.0|0.0|
82.0|41713.0|AC_68_S|AK_51|100.0|1.0|32.0|1.0|2.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|3.0|3.0|0.0|0.0|39.0|0.0|
