|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACION EN FORMATO DD/MM/AAA|VIA  ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|LOCALIZACION ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|PERIODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMOVILES|COLECTIVOS|BUSETA/BUSETON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUENO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACION
TOTAL MIXTOS|FECHA|VIA PRINCIPAL|VIA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
533.0|41863.0|AK_45|AC_170|2200.0|1.0|388.0|3.0|8.0|3.0|5.0|26.0|6.0|11.0|3.0|1.0|23.0|2.0|1.0|11.0|41.0|1.0|
498.0|41863.0|AK_45|AC_170|2215.0|1.0|347.0|1.0|10.0|5.0|6.0|14.0|7.0|11.0|2.0|2.0|26.0|1.0|0.0|7.0|58.0|1.0|
472.0|41863.0|AK_45|AC_170|2230.0|1.0|327.0|0.0|13.0|2.0|5.0|21.0|7.0|16.0|1.0|4.0|32.0|0.0|2.0|6.0|35.0|1.0|
345.0|41863.0|AK_45|AC_170|2245.0|1.0|234.0|2.0|6.0|3.0|5.0|14.0|3.0|19.0|2.0|0.0|19.0|1.0|1.0|9.0|27.0|0.0|
298.0|41863.0|AK_45|AC_170|2300.0|1.0|194.0|2.0|19.0|2.0|6.0|10.0|4.0|3.0|3.0|3.0|26.0|0.0|1.0|3.0|21.0|1.0|
218.0|41863.0|AK_45|AC_170|2315.0|1.0|148.0|2.0|9.0|3.0|4.0|1.0|0.0|1.0|3.0|1.0|19.0|1.0|1.0|8.0|17.0|0.0|
189.0|41863.0|AK_45|AC_170|2330.0|1.0|117.0|0.0|9.0|0.0|4.0|1.0|0.0|8.0|0.0|1.0|25.0|0.0|1.0|9.0|14.0|0.0|
168.0|41863.0|AK_45|AC_170|2345.0|1.0|111.0|0.0|7.0|1.0|3.0|0.0|0.0|2.0|2.0|1.0|14.0|1.0|1.0|10.0|15.0|0.0|
117.0|41863.0|AK_45|AC_170|0.0|1.0|69.0|1.0|7.0|0.0|4.0|0.0|0.0|2.0|0.0|0.0|16.0|1.0|1.0|6.0|10.0|0.0|
129.0|41863.0|AK_45|AC_170|15.0|1.0|77.0|0.0|4.0|1.0|10.0|0.0|0.0|0.0|3.0|1.0|15.0|0.0|0.0|7.0|11.0|0.0|
113.0|41863.0|AK_45|AC_170|30.0|1.0|66.0|1.0|1.0|1.0|2.0|0.0|0.0|4.0|5.0|0.0|15.0|2.0|3.0|8.0|5.0|0.0|
110.0|41863.0|AK_45|AC_170|45.0|1.0|62.0|0.0|4.0|1.0|0.0|0.0|0.0|4.0|0.0|2.0|19.0|1.0|3.0|5.0|9.0|0.0|
87.0|41863.0|AK_45|AC_170|100.0|1.0|47.0|0.0|3.0|0.0|0.0|0.0|0.0|6.0|0.0|3.0|15.0|1.0|2.0|6.0|4.0|0.0|
73.0|41863.0|AK_45|AC_170|115.0|1.0|44.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|11.0|0.0|4.0|5.0|4.0|1.0|
69.0|41863.0|AK_45|AC_170|130.0|1.0|41.0|0.0|3.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|13.0|0.0|1.0|6.0|3.0|0.0|
55.0|41863.0|AK_45|AC_170|145.0|1.0|28.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|14.0|0.0|0.0|6.0|5.0|0.0|
77.0|41863.0|AK_45|AC_170|200.0|1.0|48.0|0.0|2.0|0.0|0.0|0.0|0.0|1.0|2.0|2.0|8.0|1.0|1.0|8.0|4.0|0.0|
78.0|41863.0|AK_45|AC_170|215.0|1.0|48.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|6.0|7.0|1.0|1.0|8.0|3.0|0.0|
82.0|41863.0|AK_45|AC_170|230.0|1.0|53.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|4.0|4.0|8.0|1.0|0.0|5.0|4.0|0.0|
86.0|41863.0|AK_45|AC_170|245.0|1.0|52.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|1.0|1.0|15.0|1.0|2.0|4.0|6.0|0.0|
74.0|41863.0|AK_45|AC_170|300.0|1.0|33.0|1.0|0.0|1.0|1.0|0.0|0.0|2.0|2.0|2.0|10.0|5.0|3.0|9.0|5.0|0.0|
91.0|41863.0|AK_45|AC_170|315.0|1.0|44.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|4.0|19.0|2.0|0.0|13.0|6.0|0.0|
115.0|41863.0|AK_45|AC_170|330.0|1.0|67.0|0.0|3.0|0.0|0.0|0.0|0.0|1.0|3.0|4.0|11.0|1.0|2.0|18.0|5.0|0.0|
122.0|41863.0|AK_45|AC_170|345.0|1.0|67.0|0.0|2.0|0.0|1.0|0.0|0.0|5.0|1.0|2.0|22.0|2.0|3.0|12.0|5.0|0.0|
198.0|41863.0|AK_45|AC_170|400.0|1.0|106.0|1.0|4.0|0.0|5.0|3.0|0.0|7.0|5.0|3.0|30.0|5.0|3.0|21.0|5.0|0.0|
263.0|41863.0|AK_45|AC_170|415.0|1.0|133.0|2.0|5.0|5.0|5.0|15.0|0.0|13.0|12.0|9.0|41.0|1.0|3.0|14.0|5.0|0.0|
321.0|41863.0|AK_45|AC_170|430.0|1.0|154.0|0.0|10.0|6.0|7.0|23.0|0.0|30.0|11.0|5.0|40.0|10.0|1.0|17.0|6.0|1.0|
392.0|41863.0|AK_45|AC_170|445.0|1.0|193.0|0.0|7.0|7.0|8.0|10.0|0.0|56.0|13.0|11.0|49.0|6.0|6.0|11.0|15.0|0.0|
583.0|41863.0|AK_45|AC_170|500.0|1.0|275.0|0.0|7.0|12.0|4.0|16.0|2.0|103.0|8.0|13.0|64.0|11.0|4.0|15.0|46.0|3.0|ENTRE LAS 05:00 Y LAS 06:30 HORAS AUMENTA EL VOLUMEN DE VEHICULOS ESPECIALES POR INICIO DE ACTIVIDADES LABORALES Y ESCOLARES
857.0|41863.0|AK_45|AC_170|515.0|1.0|510.0|2.0|8.0|12.0|8.0|22.0|4.0|109.0|10.0|9.0|81.0|12.0|3.0|8.0|57.0|2.0|EN EL PERIODO DE LAS 05:15-09:15 HORAS SE PRESENTA CONGESTION VEHICULAR POR INICIO DE ACTIVIDADES LABORALES Y ESCOLARES, ASI COMO POR HORA PICO
1182.0|41863.0|AK_45|AC_170|530.0|1.0|809.0|4.0|17.0|11.0|6.0|32.0|6.0|96.0|14.0|15.0|80.0|12.0|5.0|8.0|62.0|5.0|
1386.0|41863.0|AK_45|AC_170|545.0|1.0|989.0|1.0|8.0|15.0|11.0|29.0|4.0|95.0|17.0|17.0|81.0|14.0|2.0|5.0|89.0|9.0|
1482.0|41863.0|AK_45|AC_170|600.0|1.0|1050.0|2.0|12.0|18.0|10.0|41.0|7.0|97.0|8.0|12.0|56.0|20.0|4.0|2.0|133.0|10.0|
1742.0|41863.0|AK_45|AC_170|615.0|1.0|1280.0|6.0|11.0|19.0|8.0|44.0|7.0|98.0|14.0|13.0|42.0|8.0|2.0|1.0|182.0|7.0|
1750.0|41863.0|AK_45|AC_170|630.0|1.0|1298.0|4.0|5.0|15.0|6.0|41.0|10.0|106.0|12.0|9.0|38.0|1.0|0.0|0.0|192.0|13.0|
1012.0|41863.0|AK_45|AC_170|645.0|1.0|679.0|2.0|8.0|9.0|5.0|66.0|8.0|70.0|14.0|3.0|21.0|3.0|0.0|0.0|118.0|6.0|
1359.0|41863.0|AK_45|AC_170|700.0|1.0|920.0|4.0|8.0|18.0|8.0|51.0|11.0|82.0|18.0|6.0|38.0|2.0|0.0|1.0|189.0|3.0|
1516.0|41863.0|AK_45|AC_170|715.0|1.0|1057.0|8.0|12.0|23.0|6.0|75.0|11.0|54.0|26.0|6.0|39.0|3.0|0.0|2.0|192.0|2.0|
1315.0|41863.0|AK_45|AC_170|730.0|1.0|954.0|4.0|2.0|8.0|10.0|52.0|12.0|57.0|9.0|5.0|26.0|5.0|0.0|0.0|170.0|1.0|A LAS 07:30-07:45 SE PRESENTA CHOQUE ENTRE VEHICULOS LIVIANOS
1163.0|41863.0|AK_45|AC_170|745.0|1.0|820.0|3.0|6.0|18.0|9.0|50.0|10.0|59.0|21.0|4.0|37.0|0.0|1.0|2.0|123.0|0.0|
1309.0|41863.0|AK_45|AC_170|800.0|1.0|980.0|5.0|13.0|14.0|7.0|43.0|9.0|82.0|18.0|12.0|30.0|2.0|1.0|0.0|93.0|0.0|
1342.0|41863.0|AK_45|AC_170|815.0|1.0|950.0|5.0|4.0|21.0|12.0|57.0|6.0|79.0|14.0|11.0|22.0|15.0|2.0|4.0|140.0|0.0|
