|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
286.0|41781.0|AC_60A_S|KR_19C|500.0|1.0|131.0|9.0|3.0|11.0|21.0|0.0|0.0|31.0|4.0|0.0|23.0|8.0|11.0|19.0|15.0|0.0|
296.0|41781.0|AC_60A_S|KR_19C|515.0|1.0|149.0|9.0|1.0|9.0|13.0|0.0|0.0|18.0|3.0|5.0|23.0|12.0|14.0|9.0|31.0|0.0|
389.0|41781.0|AC_60A_S|KR_19C|530.0|1.0|216.0|14.0|12.0|15.0|15.0|0.0|0.0|19.0|6.0|5.0|22.0|9.0|10.0|8.0|38.0|0.0|AUMENTA VOLUMEN DE MOTOS POR HORA PICO HASTA LAS 07:30
523.0|41781.0|AC_60A_S|KR_19C|545.0|1.0|324.0|8.0|7.0|9.0|16.0|0.0|0.0|16.0|9.0|8.0|34.0|27.0|6.0|10.0|49.0|0.0|
494.0|41781.0|AC_60A_S|KR_19C|600.0|1.0|245.0|13.0|16.0|14.0|22.0|0.0|0.0|32.0|6.0|8.0|21.0|23.0|8.0|6.0|77.0|3.0|
524.0|41781.0|AC_60A_S|KR_19C|615.0|1.0|218.0|12.0|6.0|17.0|11.0|0.0|0.0|31.0|3.0|10.0|24.0|13.0|5.0|6.0|161.0|7.0|
522.0|41781.0|AC_60A_S|KR_19C|630.0|1.0|205.0|14.0|6.0|16.0|18.0|0.0|0.0|19.0|3.0|4.0|38.0|1.0|1.0|0.0|190.0|7.0|
548.0|41781.0|AC_60A_S|KR_19C|645.0|1.0|233.0|15.0|12.0|19.0|15.0|0.0|0.0|24.0|7.0|9.0|25.0|2.0|0.0|1.0|173.0|13.0|
502.0|41781.0|AC_60A_S|KR_19C|700.0|1.0|218.0|18.0|11.0|19.0|24.0|0.0|0.0|12.0|6.0|8.0|29.0|5.0|0.0|0.0|149.0|3.0|
478.0|41781.0|AC_60A_S|KR_19C|715.0|1.0|213.0|14.0|10.0|16.0|19.0|0.0|0.0|16.0|7.0|11.0|33.0|0.0|1.0|0.0|127.0|11.0|
451.0|41781.0|AC_60A_S|KR_19C|730.0|1.0|193.0|12.0|11.0|24.0|20.0|0.0|0.0|19.0|7.0|11.0|32.0|8.0|0.0|0.0|110.0|4.0|
536.0|41781.0|AC_60A_S|KR_19C|745.0|1.0|246.0|16.0|9.0|12.0|19.0|0.0|0.0|19.0|7.0|15.0|27.0|9.0|0.0|0.0|150.0|7.0|
