|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACION EN FORMATO DD/MM/AAA|VIA  ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|LOCALIZACION ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|PERIODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMOVILES|COLECTIVOS|BUSETA/BUSETON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUENO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACION
TOTAL MIXTOS|FECHA|VIA PRINCIPAL|VIA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
108.0|41856.0|KR_14|CL_84_S|500.0|1.0|53.0|3.0|3.0|9.0|6.0|0.0|0.0|10.0|1.0|1.0|4.0|1.0|3.0|0.0|13.0|1.0|
115.0|41856.0|KR_14|CL_84_S|515.0|1.0|52.0|7.0|11.0|8.0|11.0|0.0|0.0|5.0|1.0|0.0|3.0|2.0|0.0|1.0|12.0|2.0|
128.0|41856.0|KR_14|CL_84_S|530.0|1.0|64.0|4.0|5.0|4.0|11.0|0.0|0.0|3.0|1.0|1.0|4.0|1.0|0.0|0.0|27.0|3.0|
99.0|41856.0|KR_14|CL_84_S|545.0|1.0|47.0|3.0|9.0|11.0|6.0|0.0|0.0|3.0|1.0|0.0|1.0|0.0|1.0|1.0|15.0|1.0|
139.0|41856.0|KR_14|CL_84_S|600.0|1.0|55.0|4.0|8.0|12.0|18.0|0.0|0.0|5.0|0.0|0.0|4.0|0.0|0.0|1.0|27.0|5.0|6:10 A 6:30 LLUEVE.
130.0|41856.0|KR_14|CL_84_S|615.0|1.0|60.0|8.0|7.0|9.0|12.0|0.0|0.0|6.0|0.0|1.0|1.0|2.0|1.0|0.0|19.0|4.0|6:10 A 6:30 LLUEVE.
173.0|41856.0|KR_14|CL_84_S|630.0|1.0|68.0|6.0|8.0|20.0|7.0|0.0|0.0|11.0|2.0|1.0|4.0|0.0|0.0|0.0|45.0|1.0|6:10 A 6:30 LLUEVE.
158.0|41856.0|KR_14|CL_84_S|645.0|1.0|70.0|3.0|8.0|11.0|8.0|0.0|0.0|5.0|1.0|0.0|6.0|1.0|0.0|0.0|43.0|2.0|
146.0|41856.0|KR_14|CL_84_S|700.0|1.0|46.0|7.0|15.0|16.0|15.0|0.0|0.0|10.0|0.0|0.0|3.0|0.0|0.0|0.0|32.0|2.0|
135.0|41856.0|KR_14|CL_84_S|715.0|1.0|52.0|4.0|11.0|18.0|9.0|0.0|0.0|4.0|0.0|0.0|4.0|0.0|0.0|0.0|32.0|1.0|
149.0|41856.0|KR_14|CL_84_S|730.0|1.0|50.0|5.0|15.0|19.0|12.0|0.0|0.0|1.0|0.0|1.0|3.0|0.0|0.0|0.0|39.0|4.0|
