|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
434.0|13/02/14|AK_68|AC_26|600.0|1.0|269.0|22.0|17.0|21.0|0.0|0.0|0.0|8.0|27.0|1.0|15.0|0.0|0.0|1.0|44.0|9.0|
492.0|13/02/14|AK_68|AC_26|615.0|1.0|302.0|23.0|27.0|23.0|0.0|0.0|0.0|14.0|33.0|1.0|10.0|1.0|0.0|0.0|40.0|18.0|
573.0|13/02/14|AK_68|AC_26|630.0|1.0|330.0|16.0|25.0|24.0|0.0|0.0|0.0|23.0|34.0|0.0|13.0|0.0|1.0|0.0|82.0|25.0|
653.0|13/02/14|AK_68|AC_26|645.0|1.0|408.0|22.0|25.0|16.0|0.0|0.0|0.0|18.0|26.0|2.0|23.0|0.0|0.0|0.0|96.0|17.0|
582.0|13/02/14|AK_68|AC_26|700.0|1.0|362.0|24.0|18.0|25.0|0.0|0.0|0.0|11.0|23.0|0.0|19.0|0.0|0.0|0.0|79.0|21.0|
608.0|13/02/14|AK_68|AC_26|715.0|1.0|382.0|28.0|21.0|29.0|0.0|0.0|0.0|12.0|33.0|4.0|20.0|0.0|0.0|0.0|68.0|11.0|
601.0|13/02/14|AK_68|AC_26|730.0|1.0|392.0|20.0|31.0|30.0|0.0|0.0|0.0|9.0|27.0|1.0|16.0|1.0|0.0|0.0|57.0|17.0|
528.0|13/02/14|AK_68|AC_26|745.0|1.0|331.0|26.0|19.0|26.0|0.0|0.0|0.0|11.0|33.0|0.0|8.0|0.0|0.0|0.0|61.0|13.0|
539.0|13/02/14|AK_68|AC_26|800.0|1.0|374.0|16.0|17.0|26.0|0.0|0.0|0.0|7.0|20.0|2.0|14.0|0.0|0.0|0.0|54.0|9.0|
702.0|13/02/14|AK_68|AC_26|815.0|1.0|458.0|34.0|29.0|36.0|0.0|0.0|0.0|12.0|36.0|8.0|21.0|0.0|0.0|0.0|64.0|4.0|
657.0|13/02/14|AK_68|AC_26|830.0|1.0|416.0|17.0|25.0|44.0|0.0|0.0|0.0|12.0|40.0|6.0|14.0|1.0|1.0|0.0|78.0|3.0|
728.0|13/02/14|AK_68|AC_26|845.0|1.0|435.0|20.0|22.0|42.0|0.0|0.0|0.0|10.0|34.0|12.0|15.0|2.0|0.0|0.0|136.0|0.0|
673.0|13/02/14|AK_68|AC_26|900.0|1.0|419.0|25.0|37.0|34.0|0.0|0.0|0.0|4.0|29.0|8.0|12.0|1.0|0.0|0.0|103.0|1.0|
