|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACION EN FORMATO DD/MM/AAA|VIA  ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|LOCALIZACION ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|PERIODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMOVILES|COLECTIVOS|BUSETA/BUSETON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUENO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACION
TOTAL MIXTOS|FECHA|VIA PRINCIPAL|VIA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
254.0|41898.0|AC_68_S|AK_51|2200.0|1.0|124.0|17.0|13.0|7.0|1.0|5.0|0.0|2.0|3.0|2.0|8.0|3.0|1.0|0.0|58.0|10.0|
265.0|41898.0|AC_68_S|AK_51|2215.0|1.0|109.0|14.0|15.0|5.0|1.0|5.0|0.0|4.0|3.0|2.0|8.0|2.0|0.0|0.0|87.0|10.0|
198.0|41898.0|AC_68_S|AK_51|2230.0|1.0|95.0|9.0|6.0|3.0|0.0|1.0|0.0|5.0|1.0|0.0|3.0|5.0|0.0|0.0|69.0|1.0|
171.0|41898.0|AC_68_S|AK_51|2245.0|1.0|90.0|4.0|8.0|4.0|0.0|5.0|0.0|2.0|2.0|0.0|0.0|4.0|4.0|3.0|45.0|0.0|
118.0|41898.0|AC_68_S|AK_51|2300.0|1.0|50.0|5.0|7.0|10.0|2.0|2.0|0.0|2.0|0.0|1.0|0.0|6.0|0.0|1.0|32.0|0.0|
109.0|41898.0|AC_68_S|AK_51|2315.0|1.0|49.0|5.0|6.0|12.0|1.0|7.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|27.0|0.0|
101.0|41898.0|AC_68_S|AK_51|2330.0|1.0|44.0|7.0|5.0|4.0|1.0|1.0|0.0|2.0|0.0|3.0|1.0|9.0|0.0|0.0|24.0|0.0|
65.0|41898.0|AC_68_S|AK_51|2345.0|1.0|31.0|3.0|3.0|2.0|1.0|3.0|0.0|3.0|0.0|0.0|0.0|1.0|1.0|0.0|17.0|0.0|
43.0|41898.0|AC_68_S|AK_51|0.0|1.0|21.0|1.0|0.0|2.0|0.0|1.0|0.0|2.0|0.0|1.0|1.0|2.0|0.0|0.0|12.0|0.0|
47.0|41898.0|AC_68_S|AK_51|15.0|1.0|20.0|1.0|1.0|1.0|2.0|0.0|0.0|1.0|0.0|0.0|2.0|2.0|1.0|3.0|13.0|0.0|
31.0|41898.0|AC_68_S|AK_51|30.0|1.0|11.0|1.0|1.0|3.0|2.0|0.0|0.0|0.0|0.0|0.0|2.0|1.0|0.0|1.0|9.0|0.0|
28.0|41898.0|AC_68_S|AK_51|45.0|1.0|14.0|0.0|1.0|2.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|8.0|0.0|
42.0|41898.0|AC_68_S|AK_51|100.0|1.0|24.0|2.0|2.0|2.0|0.0|0.0|0.0|4.0|0.0|0.0|1.0|2.0|0.0|0.0|5.0|0.0|
31.0|41898.0|AC_68_S|AK_51|115.0|1.0|18.0|0.0|1.0|2.0|0.0|0.0|0.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|4.0|1.0|
37.0|41898.0|AC_68_S|AK_51|130.0|1.0|25.0|1.0|1.0|2.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|1.0|3.0|1.0|
19.0|41898.0|AC_68_S|AK_51|145.0|1.0|10.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|1.0|4.0|0.0|
20.0|41898.0|AC_68_S|AK_51|200.0|1.0|12.0|0.0|1.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|3.0|0.0|
18.0|41898.0|AC_68_S|AK_51|215.0|1.0|7.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|4.0|2.0|0.0|0.0|3.0|0.0|
37.0|41898.0|AC_68_S|AK_51|230.0|1.0|26.0|1.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|0.0|2.0|1.0|0.0|0.0|4.0|0.0|
52.0|41898.0|AC_68_S|AK_51|245.0|1.0|41.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|1.0|1.0|2.0|0.0|0.0|5.0|0.0|
56.0|41898.0|AC_68_S|AK_51|300.0|1.0|34.0|2.0|3.0|3.0|0.0|0.0|0.0|1.0|0.0|1.0|4.0|1.0|2.0|1.0|4.0|0.0|
59.0|41898.0|AC_68_S|AK_51|315.0|1.0|32.0|2.0|0.0|5.0|0.0|0.0|0.0|1.0|0.0|2.0|1.0|2.0|1.0|2.0|11.0|0.0|
81.0|41898.0|AC_68_S|AK_51|330.0|1.0|45.0|7.0|2.0|7.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|4.0|0.0|2.0|10.0|2.0|
98.0|41898.0|AC_68_S|AK_51|345.0|1.0|49.0|10.0|1.0|5.0|0.0|0.0|0.0|3.0|0.0|1.0|3.0|9.0|1.0|3.0|13.0|0.0|
128.0|41898.0|AC_68_S|AK_51|400.0|1.0|80.0|20.0|4.0|3.0|0.0|0.0|0.0|2.0|1.0|2.0|3.0|0.0|1.0|1.0|11.0|0.0|
162.0|41898.0|AC_68_S|AK_51|415.0|1.0|99.0|12.0|14.0|12.0|0.0|0.0|0.0|3.0|0.0|1.0|5.0|3.0|0.0|1.0|12.0|0.0|
170.0|41898.0|AC_68_S|AK_51|430.0|1.0|92.0|12.0|14.0|14.0|0.0|1.0|0.0|7.0|0.0|1.0|5.0|7.0|1.0|1.0|13.0|2.0|
170.0|41898.0|AC_68_S|AK_51|445.0|1.0|85.0|12.0|12.0|22.0|1.0|1.0|0.0|4.0|0.0|1.0|9.0|3.0|0.0|4.0|15.0|1.0|
207.0|41898.0|AC_68_S|AK_51|500.0|1.0|78.0|14.0|9.0|18.0|1.0|1.0|1.0|17.0|0.0|2.0|3.0|8.0|2.0|1.0|47.0|5.0|
303.0|41898.0|AC_68_S|AK_51|515.0|1.0|96.0|31.0|11.0|23.0|0.0|0.0|2.0|31.0|0.0|4.0|7.0|5.0|2.0|2.0|78.0|11.0|
318.0|41898.0|AC_68_S|AK_51|530.0|1.0|91.0|21.0|13.0|23.0|0.0|1.0|1.0|29.0|1.0|9.0|8.0|11.0|5.0|1.0|86.0|18.0|
362.0|41898.0|AC_68_S|AK_51|545.0|1.0|147.0|20.0|13.0|19.0|0.0|1.0|3.0|14.0|0.0|5.0|5.0|9.0|0.0|0.0|103.0|23.0|
596.0|41898.0|AC_68_S|AK_51|600.0|1.0|218.0|40.0|12.0|26.0|0.0|1.0|1.0|14.0|24.0|4.0|13.0|5.0|1.0|0.0|185.0|52.0|
619.0|41898.0|AC_68_S|AK_51|615.0|1.0|236.0|36.0|11.0|15.0|0.0|1.0|0.0|19.0|9.0|6.0|9.0|3.0|0.0|0.0|220.0|54.0|
676.0|41898.0|AC_68_S|AK_51|630.0|1.0|263.0|34.0|17.0|16.0|0.0|2.0|0.0|13.0|15.0|12.0|13.0|5.0|0.0|0.0|229.0|57.0|
625.0|41898.0|AC_68_S|AK_51|645.0|1.0|192.0|35.0|12.0|19.0|0.0|0.0|0.0|10.0|13.0|23.0|28.0|2.0|0.0|0.0|229.0|62.0|
559.0|41898.0|AC_68_S|AK_51|700.0|1.0|200.0|39.0|15.0|21.0|0.0|2.0|0.0|13.0|13.0|8.0|28.0|4.0|0.0|0.0|184.0|32.0|
525.0|41898.0|AC_68_S|AK_51|715.0|1.0|189.0|34.0|11.0|12.0|0.0|3.0|0.0|9.0|15.0|5.0|18.0|1.0|0.0|0.0|196.0|32.0|
543.0|41898.0|AC_68_S|AK_51|730.0|1.0|179.0|29.0|13.0|12.0|0.0|3.0|1.0|8.0|14.0|15.0|29.0|6.0|0.0|0.0|197.0|37.0|
507.0|41898.0|AC_68_S|AK_51|745.0|1.0|163.0|40.0|10.0|16.0|0.0|3.0|0.0|11.0|8.0|10.0|22.0|2.0|0.0|0.0|179.0|43.0|
437.0|41898.0|AC_68_S|AK_51|800.0|1.0|149.0|25.0|19.0|13.0|0.0|3.0|0.0|7.0|4.0|5.0|29.0|2.0|0.0|0.0|146.0|35.0|
462.0|41898.0|AC_68_S|AK_51|815.0|1.0|153.0|35.0|15.0|19.0|1.0|3.0|0.0|8.0|13.0|11.0|26.0|6.0|1.0|0.0|144.0|27.0|
396.0|41898.0|AC_68_S|AK_51|830.0|1.0|164.0|32.0|10.0|16.0|3.0|7.0|0.0|3.0|9.0|5.0|9.0|16.0|7.0|3.0|102.0|10.0|
397.0|41898.0|AC_68_S|AK_51|845.0|1.0|163.0|24.0|11.0|16.0|1.0|6.0|0.0|4.0|9.0|11.0|29.0|7.0|1.0|0.0|100.0|15.0|
