|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
568.0|41727.0|AK_30|AC_53|2200.0|1.0|377.0|5.0|1.0|8.0|0.0|0.0|0.0|6.0|0.0|4.0|30.0|4.0|0.0|0.0|133.0|0.0|
515.0|41727.0|AK_30|AC_53|2215.0|1.0|354.0|4.0|2.0|4.0|0.0|0.0|0.0|5.0|0.0|1.0|23.0|4.0|3.0|3.0|112.0|0.0|
451.0|41727.0|AK_30|AC_53|2230.0|1.0|319.0|4.0|1.0|3.0|0.0|0.0|0.0|5.0|1.0|2.0|16.0|1.0|0.0|8.0|89.0|2.0|
390.0|41727.0|AK_30|AC_53|2245.0|1.0|286.0|2.0|0.0|2.0|0.0|0.0|0.0|8.0|0.0|2.0|17.0|5.0|1.0|6.0|61.0|0.0|
327.0|41727.0|AK_30|AC_53|2300.0|1.0|235.0|1.0|1.0|2.0|0.0|0.0|0.0|4.0|0.0|3.0|17.0|4.0|3.0|2.0|54.0|1.0|
257.0|41727.0|AK_30|AC_53|2315.0|1.0|191.0|0.0|4.0|2.0|0.0|0.0|0.0|2.0|1.0|0.0|12.0|2.0|1.0|6.0|36.0|0.0|
215.0|41727.0|AK_30|AC_53|2330.0|1.0|155.0|1.0|4.0|2.0|0.0|0.0|0.0|3.0|0.0|0.0|17.0|2.0|1.0|5.0|25.0|0.0|
230.0|41727.0|AK_30|AC_53|2345.0|1.0|174.0|0.0|1.0|1.0|0.0|0.0|0.0|2.0|0.0|0.0|21.0|5.0|0.0|2.0|24.0|0.0|
207.0|41727.0|AK_30|AC_53|0.0|1.0|163.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|15.0|1.0|3.0|1.0|20.0|0.0|
203.0|41727.0|AK_30|AC_53|15.0|1.0|159.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|18.0|7.0|1.0|1.0|13.0|1.0|
180.0|41727.0|AK_30|AC_53|30.0|1.0|132.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|2.0|0.0|18.0|4.0|0.0|7.0|16.0|0.0|
157.0|41727.0|AK_30|AC_53|45.0|1.0|116.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|17.0|1.0|1.0|6.0|13.0|0.0|
154.0|41727.0|AK_30|AC_53|100.0|1.0|123.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|10.0|3.0|0.0|3.0|13.0|0.0|
