|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
284.0|41829.0|AK_72|AC_26_S|2200.0|1.0|139.0|13.0|26.0|7.0|0.0|0.0|0.0|2.0|19.0|2.0|6.0|4.0|6.0|2.0|50.0|8.0|
301.0|41829.0|AK_72|AC_26_S|2215.0|1.0|127.0|11.0|29.0|5.0|0.0|0.0|0.0|12.0|10.0|1.0|10.0|3.0|4.0|3.0|75.0|11.0|
303.0|41829.0|AK_72|AC_26_S|2230.0|1.0|143.0|19.0|25.0|12.0|0.0|0.0|0.0|12.0|20.0|1.0|7.0|1.0|2.0|3.0|48.0|10.0|
263.0|41829.0|AK_72|AC_26_S|2245.0|1.0|132.0|14.0|24.0|8.0|0.0|0.0|0.0|5.0|17.0|0.0|12.0|5.0|8.0|5.0|30.0|3.0|
222.0|41829.0|AK_72|AC_26_S|2300.0|1.0|119.0|8.0|16.0|9.0|0.0|0.0|0.0|8.0|13.0|1.0|18.0|7.0|3.0|4.0|14.0|2.0|
172.0|41829.0|AK_72|AC_26_S|2315.0|1.0|86.0|5.0|21.0|4.0|0.0|0.0|0.0|5.0|10.0|3.0|11.0|5.0|3.0|4.0|11.0|4.0|
162.0|41829.0|AK_72|AC_26_S|2330.0|1.0|83.0|7.0|20.0|3.0|0.0|0.0|0.0|3.0|6.0|0.0|6.0|1.0|7.0|9.0|12.0|5.0|
156.0|41829.0|AK_72|AC_26_S|2345.0|1.0|80.0|4.0|19.0|2.0|0.0|0.0|0.0|4.0|8.0|1.0|10.0|7.0|3.0|5.0|11.0|2.0|
125.0|41829.0|AK_72|AC_26_S|0.0|1.0|77.0|2.0|13.0|0.0|0.0|0.0|0.0|3.0|4.0|0.0|11.0|2.0|5.0|1.0|7.0|0.0|
115.0|41829.0|AK_72|AC_26_S|15.0|1.0|64.0|4.0|8.0|0.0|0.0|0.0|0.0|3.0|5.0|0.0|6.0|5.0|3.0|7.0|10.0|0.0|
86.0|41829.0|AK_72|AC_26_S|30.0|1.0|49.0|1.0|3.0|2.0|0.0|0.0|0.0|3.0|6.0|1.0|9.0|5.0|1.0|1.0|5.0|0.0|
90.0|41829.0|AK_72|AC_26_S|45.0|1.0|54.0|2.0|6.0|1.0|0.0|0.0|0.0|4.0|5.0|0.0|7.0|2.0|4.0|2.0|2.0|1.0|
89.0|41829.0|AK_72|AC_26_S|100.0|1.0|56.0|0.0|6.0|1.0|0.0|0.0|0.0|2.0|3.0|0.0|11.0|6.0|0.0|2.0|2.0|0.0|
