|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
46.0|41706.0|KR_14|CL_84_S|500.0|1.0|23.0|0.0|3.0|2.0|9.0|0.0|0.0|1.0|0.0|0.0|1.0|1.0|1.0|0.0|5.0|0.0|
99.0|41706.0|KR_14|CL_84_S|515.0|1.0|60.0|4.0|11.0|5.0|5.0|0.0|0.0|2.0|0.0|0.0|1.0|2.0|0.0|0.0|8.0|1.0|
84.0|41706.0|KR_14|CL_84_S|530.0|1.0|44.0|2.0|7.0|11.0|8.0|0.0|0.0|1.0|1.0|0.0|1.0|1.0|0.0|0.0|7.0|1.0|
98.0|41706.0|KR_14|CL_84_S|545.0|1.0|55.0|2.0|7.0|6.0|11.0|0.0|0.0|1.0|0.0|2.0|1.0|0.0|0.0|0.0|13.0|0.0|
102.0|41706.0|KR_14|CL_84_S|600.0|1.0|48.0|4.0|10.0|13.0|5.0|0.0|0.0|0.0|0.0|2.0|3.0|0.0|0.0|0.0|15.0|2.0|
110.0|41706.0|KR_14|CL_84_S|615.0|1.0|43.0|6.0|17.0|11.0|9.0|0.0|0.0|4.0|1.0|4.0|2.0|1.0|0.0|0.0|11.0|1.0|
108.0|41706.0|KR_14|CL_84_S|630.0|1.0|36.0|4.0|12.0|16.0|9.0|0.0|0.0|3.0|0.0|4.0|1.0|0.0|0.0|0.0|20.0|3.0|
119.0|41706.0|KR_14|CL_84_S|645.0|1.0|49.0|9.0|10.0|16.0|10.0|0.0|0.0|1.0|0.0|2.0|3.0|0.0|0.0|0.0|18.0|1.0|
122.0|41706.0|KR_14|CL_84_S|700.0|1.0|44.0|6.0|12.0|18.0|12.0|0.0|0.0|1.0|0.0|2.0|3.0|1.0|0.0|0.0|22.0|1.0|
111.0|41706.0|KR_14|CL_84_S|715.0|1.0|43.0|4.0|12.0|15.0|8.0|0.0|0.0|1.0|0.0|2.0|4.0|0.0|1.0|0.0|20.0|1.0|
106.0|41706.0|KR_14|CL_84_S|730.0|1.0|38.0|6.0|11.0|16.0|7.0|0.0|0.0|2.0|0.0|1.0|1.0|0.0|0.0|0.0|23.0|1.0|
126.0|41706.0|KR_14|CL_84_S|745.0|1.0|61.0|4.0|8.0|22.0|8.0|0.0|0.0|0.0|0.0|2.0|3.0|0.0|0.0|0.0|18.0|0.0|
129.0|41706.0|KR_14|CL_84_S|800.0|1.0|62.0|4.0|13.0|12.0|10.0|0.0|0.0|0.0|0.0|5.0|4.0|0.0|0.0|0.0|19.0|0.0|
129.0|41706.0|KR_14|CL_84_S|815.0|1.0|51.0|6.0|10.0|20.0|6.0|0.0|0.0|2.0|0.0|4.0|2.0|0.0|0.0|0.0|25.0|3.0|
138.0|41706.0|KR_14|CL_84_S|830.0|1.0|63.0|7.0|17.0|17.0|7.0|0.0|0.0|1.0|0.0|4.0|4.0|0.0|0.0|0.0|18.0|0.0|
141.0|41706.0|KR_14|CL_84_S|845.0|1.0|61.0|3.0|13.0|16.0|10.0|0.0|0.0|6.0|0.0|5.0|7.0|1.0|0.0|0.0|16.0|3.0|
121.0|41706.0|KR_14|CL_84_S|900.0|1.0|50.0|5.0|11.0|15.0|6.0|0.0|0.0|1.0|0.0|4.0|4.0|1.0|0.0|0.0|24.0|0.0|
103.0|41706.0|KR_14|CL_84_S|915.0|1.0|41.0|6.0|11.0|18.0|5.0|0.0|0.0|1.0|0.0|3.0|2.0|0.0|0.0|0.0|15.0|1.0|
114.0|41706.0|KR_14|CL_84_S|930.0|1.0|48.0|6.0|12.0|16.0|6.0|0.0|0.0|1.0|0.0|2.0|3.0|1.0|0.0|0.0|19.0|0.0|
144.0|41706.0|KR_14|CL_84_S|945.0|1.0|82.0|2.0|10.0|16.0|7.0|0.0|0.0|0.0|0.0|5.0|4.0|0.0|0.0|0.0|17.0|1.0|
148.0|41706.0|KR_14|CL_84_S|1000.0|1.0|68.0|5.0|17.0|18.0|5.0|0.0|0.0|1.0|0.0|7.0|5.0|1.0|0.0|0.0|21.0|0.0|
141.0|41706.0|KR_14|CL_84_S|1015.0|1.0|79.0|6.0|8.0|13.0|6.0|0.0|0.0|1.0|0.0|9.0|4.0|0.0|0.0|0.0|15.0|0.0|
147.0|41706.0|KR_14|CL_84_S|1030.0|1.0|76.0|4.0|11.0|12.0|6.0|0.0|0.0|0.0|0.0|11.0|6.0|1.0|0.0|0.0|19.0|1.0|
147.0|41706.0|KR_14|CL_84_S|1045.0|1.0|79.0|5.0|9.0|12.0|6.0|0.0|0.0|0.0|0.0|10.0|7.0|0.0|0.0|0.0|17.0|2.0|
153.0|41706.0|KR_14|CL_84_S|1100.0|1.0|78.0|4.0|11.0|16.0|4.0|0.0|0.0|0.0|0.0|8.0|5.0|0.0|0.0|0.0|26.0|1.0|
168.0|41706.0|KR_14|CL_84_S|1115.0|1.0|91.0|6.0|15.0|13.0|4.0|0.0|0.0|0.0|0.0|7.0|5.0|0.0|1.0|0.0|25.0|1.0|
148.0|41706.0|KR_14|CL_84_S|1130.0|1.0|76.0|4.0|13.0|12.0|5.0|0.0|0.0|1.0|0.0|9.0|6.0|0.0|0.0|0.0|22.0|0.0|
142.0|41706.0|KR_14|CL_84_S|1145.0|1.0|77.0|2.0|13.0|16.0|3.0|0.0|0.0|2.0|0.0|7.0|5.0|0.0|0.0|0.0|17.0|0.0|
167.0|41706.0|KR_14|CL_84_S|1200.0|1.0|107.0|6.0|10.0|11.0|5.0|0.0|0.0|0.0|0.0|6.0|3.0|1.0|0.0|0.0|16.0|2.0|
164.0|41706.0|KR_14|CL_84_S|1215.0|1.0|97.0|6.0|12.0|16.0|5.0|0.0|0.0|1.0|0.0|5.0|3.0|0.0|0.0|0.0|19.0|0.0|
162.0|41706.0|KR_14|CL_84_S|1230.0|1.0|100.0|3.0|7.0|11.0|4.0|0.0|0.0|2.0|0.0|8.0|5.0|1.0|0.0|0.0|21.0|0.0|
171.0|41706.0|KR_14|CL_84_S|1245.0|1.0|99.0|3.0|12.0|18.0|8.0|0.0|0.0|0.0|1.0|7.0|2.0|0.0|0.0|0.0|19.0|2.0|
159.0|41706.0|KR_14|CL_84_S|1300.0|1.0|75.0|3.0|13.0|10.0|3.0|0.0|0.0|1.0|0.0|3.0|6.0|0.0|0.0|0.0|43.0|2.0|
169.0|41706.0|KR_14|CL_84_S|1315.0|1.0|77.0|5.0|4.0|15.0|3.0|0.0|0.0|2.0|0.0|8.0|12.0|0.0|0.0|0.0|42.0|1.0|
