Estacion,Tipo,IDEstacion,IDNodo,hora,>C5_DSEL,AL_DSEL,AT1_DSEL,AT3_DSEL,AT4_DSEL,AUT_GAS,AUT_GNV,BA1_DSEL,BA2_DSEL,BE_DSEL,BE_GAS,BE_GNV,BI_DSEL,BI_GAS,BI_GNV,BN1_DSEL,BN3_DSEL,BN4_DSEL,BT1_DSEL,BT3_DSEL,BT4_DSEL,BTE_DSEL,BTE_GAS,BTE_GNV,BTI_DSEL,BTI_GAS,BTI_GNV,C2G_DSEL,C2G_GAS,C2G_GNV,C2P_DSEL,C2P_GAS,C2P_GNV,C3-C4_DSEL,C5_DSEL,CCE_DSEL,CCE_GAS,CCE_GNV,CC_DSEL,CC_GAS,CC_GNV,M1_GAS,M2_GAS,M3_GAS,MBE_DSEL,MBE_GAS,MBE_GNV,MBI_DSEL,MBI_GAS,MBI_GNV,MB_DSEL,P1_DSEL,P3_DSEL,P4_DSEL,PHB_DSEL,TX_GAS,TX_GNV
L_AK_45_AC_170,NOHAB,1,3493,0,14.239107401,6.83333333333,1.68801939058,0.304593721145,0.17405355494,587.076083975,8.04478877582,0.0,0.0,2.77480988847,0.0387050715793,0.0,0.508744496121,0.0740391861404,0.00713906128584,3.98934003259,0.619228680065,1.11929657795,1.22827267789,0.401276480174,0.142585551331,0.859835970923,0.0719409482616,0.0592361380414,0.190121650693,0.0957274325857,0.00654413951203,21.4530062689,2.12283250576,0.450920841482,0.575850581405,2.23498121257,0.987009960532,4.32258617531,4.0683164003,0.327194219024,3.50322968523,0.111778927152,31.2500499837,235.310846351,3.14674217841,2.6198397376,131.729097537,67.8066154934,3.3154835398,2.35680229334,2.40257759886,0.660541229085,0.757592884447,0.386699152984,0.166666666667,0.27496328928,0.0179882525698,0.747797356828,0.125917767988,8.47468566745,14.6459990947
L_AK_45_AC_170,NOHAB,1,3493,1,10.9336003258,0.0,0.0,0.0,0.0,442.204582645,6.05959356919,0.0,0.0,2.09177976208,0.0291776693445,0.0,0.462494996474,0.0673083510368,0.00649005571441,1.06382400869,0.165127648017,0.298479087452,0.327539380771,0.10700706138,0.0380228136882,0.64818403962,0.054232407151,0.0446549348313,0.172837864265,0.0870249387142,0.00594921773821,23.0337540992,2.27925174302,0.484146587698,0.575850581405,2.23498121257,0.987009960532,3.05123730022,3.81404662528,0.246654103572,2.64089622425,0.0842641143143,23.5385424274,177.243695397,2.37022738565,2.31546001705,116.424472097,59.9286684649,2.49936451462,1.77666634422,1.81117388222,0.60049202644,0.688720804043,0.35154468453,0.166666666667,0.235682819383,0.0154185022026,0.640969162996,0.107929515419,6.3834057304,11.0318374294
L_AK_45_AC_170,NOHAB,1,3493,2,9.91652122572,0.0,0.129847645429,0.0234302862419,0.0133887349954,422.239375743,5.78600744164,0.0,0.0,1.96371161337,0.0273912814254,0.0,0.508744496121,0.0740391861404,0.00713906128584,0.975172007967,0.151367010683,0.273605830165,0.300244432374,0.0980898062647,0.0348542458809,0.6084993025,0.0509120556928,0.0419209592293,0.190121650693,0.0957274325857,0.00654413951203,19.1947950827,1.89937645253,0.403455489748,1.07971984013,4.19058977358,1.850643676,6.10247460044,2.7969675252,0.231552831925,2.47920870031,0.0791050869073,22.4757948029,169.241274821,2.26321338801,1.71757128025,86.3618149831,44.4541296595,2.3463421974,1.66789085375,1.70028568535,0.660541229085,0.757592884447,0.386699152984,0.5,0.0392804698972,0.00256975036711,0.106828193833,0.0179882525698,6.09519972541,10.5337582022
L_AK_45_AC_170,NOHAB,1,3493,3,15.7647260511,0.0,0.129847645429,0.0234302862419,0.0133887349954,420.094353513,5.75661389074,0.0,0.0,1.79295408178,0.0250094308667,0.0,0.416245496827,0.0605775159331,0.00584105014296,1.06382400869,0.165127648017,0.298479087452,0.327539380771,0.10700706138,0.0380228136882,0.555586319673,0.0464849204153,0.0382756584268,0.155554077839,0.0783224448428,0.00535429596439,21.0013640317,2.07814129511,0.441427771136,0.971747856121,3.77153079622,1.66557930839,5.33966527539,6.10247460044,0.211417803061,2.26362533507,0.072226383698,22.3616153059,168.381510628,2.25171601637,2.08717522663,104.946003017,54.020208194,2.1423124411,1.52285686646,1.55243475619,0.540442823796,0.619848723639,0.316390216078,0.333333333333,0.235682819383,0.0154185022026,0.640969162996,0.107929515419,6.06423544388,10.4802455579
L_AK_45_AC_170,NOHAB,1,3493,4,22.3757402017,5.66666666667,4.28497229917,0.773199445983,0.441828254848,363.828770423,4.98559844033,0.0,0.0,3.37246124906,0.0470415485348,0.0,2.54372248061,0.370195930703,0.0356953064293,5.31912004345,0.825638240087,1.49239543726,1.63769690386,0.535035306898,0.190114068441,1.04503141081,0.0874359217333,0.0719946908503,0.950608253461,0.478637162929,0.0327206975602,33.1957044371,3.2848039826,0.697740670505,2.23142100295,8.66055219872,3.82466359706,14.493377176,9.91652122572,0.397666820045,4.25777146359,0.135854388384,19.3665992732,145.829234459,1.95013111394,1.67408846303,84.1754399199,43.3287086555,4.02958768683,2.86442124884,2.92005585093,3.30270614542,3.78796442223,1.93349576491,2.83333333333,1.64977973568,0.107929515419,4.48678414097,0.75550660793,5.25201852072,9.07656773576
L_AK_45_AC_170,NOHAB,1,3493,5,33.8178800775,11.6666666667,14.4130886427,2.60076177285,1.48614958449,629.481523431,8.62587666661,0.290305010893,1.87636165577,7.7267783048,0.107778737782,0.0,4.94869646226,0.720199356093,0.0694435961442,8.95385207315,1.38982437081,2.51219898606,2.75678978816,0.900642766612,0.320025348542,2.39431247288,0.200327871313,0.164949861315,1.84936514765,0.931166844242,0.0636566297988,68.6496200603,6.79306401844,1.44294669275,4.21090737653,16.3433001169,7.21751033639,26.6983263769,14.493377176,0.911110056052,9.75514727733,0.311261320223,33.5072908061,252.307723113,3.37403637174,6.80506089515,342.167697337,176.128387132,9.23234647237,6.56278792453,6.69025454454,6.42526468291,7.36931260327,3.76152812448,8.83333333333,6.71696035242,0.439427312775,18.2676211454,3.07599118943,9.08682569459,15.7039029079
L_AK_45_AC_170,NOHAB,1,3493,6,15.5104562762,7.66666666667,32.0723684211,5.78728070175,3.30701754386,1464.55517745,20.0690121344,0.446623093682,2.88671023965,12.5079891895,0.174470553427,0.0,6.52117945028,0.949047749619,0.0915097855732,8.95385207315,1.38982437081,2.51219898606,2.75678978816,0.900642766612,0.320025348542,3.875875992,0.324287659087,0.267018283787,2.43701388614,1.22705163587,0.0838839701088,92.586658634,9.16169818276,1.94607942114,6.26237507278,24.3054206867,10.7337333208,21.8672006515,8.39090257561,1.47489086421,15.7914815041,0.503865010083,77.9582472333,587.020537443,7.85005159516,15.8603575816,797.480304177,410.497311223,14.9451796486,10.6237395685,10.830080561,8.46693757282,9.710963337,4.95678005188,13.1666666667,9.58443465492,0.627019089574,26.0660792952,4.38913362702,21.1414586802,36.536786949
L_AK_45_AC_170,NOHAB,1,3493,7,16.0189958262,5.16666666667,56.3538781163,10.168744229,5.810710988,1818.48384527,24.9189480321,0.580610021786,3.75272331155,9.81855806688,0.136956407127,0.0,6.42868045099,0.935586079412,0.0902117744303,9.21980807532,1.43110628282,2.58681875792,2.83867463335,0.927394531957,0.329531051965,3.04249651249,0.254560278464,0.209604796146,2.40244631329,1.20964664813,0.0826941265611,89.4251629733,8.84885970823,1.87962792871,3.88699142449,15.0861231849,6.6623172336,17.0360749263,8.39090257561,1.15776415962,12.3960435016,0.395525434536,96.7978642134,728.881629469,9.74711791689,17.4039975929,875.096618907,450.449756867,11.731710987,8.33945426875,8.50142842676,8.34683916753,9.57321917619,4.88647111497,11.6666666667,6.55983847283,0.429148311307,17.84030837,3.00403817915,26.2505651324,45.3663732498
L_AK_45_AC_170,NOHAB,1,3493,8,12.9677585259,3.83333333333,58.9508310249,10.6373499538,6.0784856879,1984.31056376,27.1912956206,0.513616557734,3.3197167756,8.23905089959,0.114924289459,0.0,6.38243095134,0.928855244307,0.0895627688589,9.57441607822,1.48614883216,2.68631178707,2.94785442694,0.963063552417,0.342205323194,2.55305142136,0.213609277146,0.175885763723,2.38516252686,1.20094415426,0.0820992047873,99.135471074,9.80972073714,2.08372894117,4.67878597391,18.1592223521,8.01945592933,21.8672006515,7.62809325055,0.971515142639,10.4018973731,0.331897429851,105.624817624,795.348015243,10.6359531865,15.0994082802,759.218740578,390.802443653,9.84443574125,6.99788988639,7.13380733202,8.28678996488,9.5043470958,4.85131664652,10.3333333333,8.01321585903,0.52422907489,21.7929515419,3.66960352423,28.6443422812,49.5033122858
L_AK_45_AC_170,NOHAB,1,3493,9,16.0189958262,4.5,48.5630193906,8.76292705448,5.00738688827,1963.1903449,26.9018821964,0.580610021786,3.75272331155,6.95836941261,0.0970604102683,0.0,6.19743295274,0.901931903893,0.0869667465731,8.15598406663,1.2659786348,2.28833967047,2.51113525258,0.820387470578,0.291508238276,2.15620405016,0.180405762564,0.148546007704,2.31602738116,1.16613417877,0.079719517692,99.8129344299,9.87675755311,2.09796854669,6.29836573412,24.4451070126,10.7954214433,17.0360749263,7.88236302557,0.820502426168,8.78502213374,0.28030715578,104.500588732,786.882644715,10.5227482964,12.3599907952,621.477111616,319.900920398,8.31421256902,5.91013498176,6.02492536331,8.0465931543,9.22885877418,4.71069877271,10.6666666667,6.55983847283,0.429148311307,17.84030837,3.00403817915,28.3394632016,48.9764185578
