Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
L_AK_72_AC_138,NOHAB,3,9047,1,0.25,0.0,0.0,0.0,0.0,2.25,0.0,2.75,0.5,1.5,0.25,4.5,1.0,338.0,21.25,372.25
L_AK_72_AC_138,NOHAB,3,9047,2,0.25,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.75,0.75,2.75,3.5,290.25,22.0,328.25
L_AK_72_AC_138,NOHAB,3,9047,3,4.0,0.0,0.0,1.25,0.0,2.75,0.25,4.75,3.5,1.5,2.25,3.75,2.0,282.5,21.0,329.5
L_AK_72_AC_138,NOHAB,3,9047,4,5.0,0.0,0.0,4.5,0.0,9.0,2.25,7.0,3.25,2.75,2.5,5.25,9.75,238.25,19.0,308.5
L_AK_72_AC_138,NOHAB,3,9047,5,6.25,0.0,0.0,15.75,0.0,14.25,8.25,13.5,8.75,3.0,1.25,13.5,21.25,384.5,84.75,575.0
L_AK_72_AC_138,NOHAB,3,9047,6,7.5,0.0,0.0,17.25,0.0,17.5,13.5,24.75,16.75,18.0,6.5,16.75,39.75,845.25,193.75,1217.25
L_AK_72_AC_138,NOHAB,3,9047,7,3.75,0.0,0.0,19.75,0.0,15.75,12.5,25.75,23.0,12.0,3.0,24.5,36.0,1334.5,272.0,1782.5
L_AK_72_AC_138,NOHAB,3,9047,8,4.0,0.0,0.0,16.5,0.0,19.0,13.25,34.75,19.0,7.25,2.75,14.0,31.75,1422.75,204.0,1789.0
L_AK_72_AC_138,NOHAB,3,9047,9,3.5,0.0,0.0,15.75,0.0,15.75,12.5,41.5,21.0,7.25,2.75,11.25,32.75,1377.25,161.5,1702.75
L_AK_72_AC_138,NOHAB,3,9047,10,4.75,0.0,0.0,17.0,0.0,18.0,12.5,42.0,16.75,8.5,3.0,7.5,25.5,1395.0,146.0,1696.5
L_AK_72_AC_138,NOHAB,3,9047,11,4.5,0.0,0.0,14.75,0.0,16.0,11.25,38.75,17.0,6.25,3.0,10.0,20.5,1423.75,141.0,1706.75
L_AK_72_AC_138,NOHAB,3,9047,12,5.25,0.0,0.0,13.75,0.0,14.5,8.75,36.0,14.0,9.0,3.5,17.0,34.25,1380.0,135.5,1671.5
L_AK_72_AC_138,NOHAB,3,9047,13,4.0,0.0,0.0,14.5,0.0,14.5,11.0,32.0,18.0,7.25,1.5,21.25,33.25,1516.0,211.0,1884.25
L_AK_72_AC_138,NOHAB,3,9047,14,6.25,0.0,0.0,13.0,0.0,18.5,10.25,28.25,5.5,2.5,3.5,14.0,31.25,1500.25,211.25,1844.5
L_AK_72_AC_138,NOHAB,3,9047,15,6.75,0.0,0.0,14.5,0.0,18.0,12.75,26.5,4.5,3.75,6.75,8.75,36.25,1509.25,175.5,1823.25
L_AK_72_AC_138,NOHAB,3,9047,16,2.25,0.0,0.0,14.0,0.0,14.75,9.5,22.25,6.25,1.75,3.75,9.25,33.5,1623.5,176.5,1917.25
L_AK_72_AC_138,NOHAB,3,9047,17,3.0,0.0,0.0,11.5,0.0,15.75,12.5,18.75,6.0,1.25,1.5,10.5,33.75,1609.0,199.0,1922.5
L_AK_72_AC_138,NOHAB,3,9047,18,3.5,0.0,0.0,11.25,0.0,13.75,9.25,18.25,7.0,1.25,2.25,8.5,26.0,1633.5,146.0,1880.5
L_AK_72_AC_138,NOHAB,3,9047,19,1.5,0.0,0.0,12.0,0.0,16.25,9.25,13.75,2.75,1.0,1.25,11.5,25.75,1589.75,120.0,1804.75
L_AK_72_AC_138,NOHAB,3,9047,20,1.5,0.0,0.0,14.0,0.0,15.25,10.25,10.75,1.5,0.75,1.0,12.5,23.75,1544.5,113.25,1749.0
L_AK_72_AC_138,NOHAB,3,9047,21,2.5,0.0,0.0,11.0,0.0,15.75,6.0,7.75,1.0,0.75,1.75,6.25,15.5,1271.5,102.0,1441.75
L_AK_72_AC_138,NOHAB,3,9047,22,1.5,0.0,0.0,6.5,0.0,17.5,5.75,8.5,2.5,0.0,1.5,8.25,10.0,1149.75,97.75,1309.5
L_AK_72_AC_138,NOHAB,3,9047,23,1.25,0.0,0.0,2.0,0.0,13.0,2.5,5.5,1.5,1.0,1.0,6.5,5.0,707.5,64.0,810.75
L_AC_20_S_KR_3_E,NOHAB,32,56123,0,0.25,0.0,0.0,0.75,0.0,4.5,5.75,0.25,0.5,0.0,0.0,6.5,0.0,94.75,18.5,131.75
L_AC_20_S_KR_3_E,NOHAB,32,56123,1,0.0,0.0,0.0,0.0,0.0,0.5,3.25,0.25,0.5,0.5,0.0,3.75,0.0,97.0,10.5,116.25
L_AC_20_S_KR_3_E,NOHAB,32,56123,2,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.25,0.25,0.0,0.0,2.75,0.0,94.75,8.75,109.75
L_AC_20_S_KR_3_E,NOHAB,32,56123,3,0.0,0.0,0.0,1.5,0.0,2.75,9.75,0.25,1.75,0.0,0.0,3.75,0.25,104.0,11.0,135.0
L_AC_20_S_KR_3_E,NOHAB,32,56123,4,0.0,0.0,0.0,8.75,0.0,20.75,19.75,1.75,1.0,1.0,0.0,5.75,0.25,122.5,26.0,207.5
L_AC_20_S_KR_3_E,NOHAB,32,56123,5,0.0,0.0,0.0,17.0,0.0,34.25,17.5,6.0,2.75,1.0,0.0,4.25,0.5,148.25,136.75,368.25
L_AC_20_S_KR_3_E,NOHAB,32,56123,6,0.0,0.0,0.0,19.75,0.0,42.0,18.25,7.25,7.25,2.75,0.0,5.75,0.0,217.0,206.5,526.5
L_AC_20_S_KR_3_E,NOHAB,32,56123,7,0.25,0.0,0.0,16.5,0.0,45.75,14.0,8.5,9.25,0.5,0.25,4.75,0.75,290.75,226.0,617.25
L_AC_20_S_KR_3_E,NOHAB,32,56123,8,0.0,0.0,0.0,20.25,0.0,41.0,16.0,13.0,4.5,1.25,0.0,5.0,0.25,239.5,141.25,482.0
L_AC_20_S_KR_3_E,NOHAB,32,56123,9,0.0,0.0,0.0,18.25,0.0,48.25,16.25,16.5,6.25,0.5,0.25,5.0,0.0,231.5,112.5,455.25
L_AC_20_S_KR_3_E,NOHAB,32,56123,10,0.0,0.0,0.0,18.0,0.0,44.25,16.5,16.25,7.75,1.0,0.0,5.0,0.75,233.75,103.0,446.25
L_AC_20_S_KR_3_E,NOHAB,32,56123,11,0.0,0.0,0.0,17.75,0.0,44.25,14.75,14.5,7.75,0.5,0.0,4.5,1.0,230.5,124.75,460.25
L_AC_20_S_KR_3_E,NOHAB,32,56123,12,0.0,0.0,0.0,15.75,0.0,43.0,17.25,17.0,7.5,0.75,0.0,4.75,0.5,264.0,140.0,510.5
L_AC_20_S_KR_3_E,NOHAB,32,56123,13,0.0,0.0,0.0,14.75,0.0,40.25,15.0,17.75,6.75,0.25,0.0,5.0,0.0,237.25,191.75,528.75
L_AC_20_S_KR_3_E,NOHAB,32,56123,14,0.0,0.0,0.0,18.25,0.0,37.0,15.75,7.25,5.75,1.0,0.0,6.25,0.0,305.0,182.25,578.5
L_AC_20_S_KR_3_E,NOHAB,32,56123,15,0.0,0.0,0.0,20.25,0.0,34.25,15.25,7.75,5.0,0.25,0.0,6.75,0.0,349.0,171.5,610.0
L_AC_20_S_KR_3_E,NOHAB,32,56123,16,0.0,0.0,0.0,20.0,0.0,36.0,16.0,8.75,6.0,1.0,0.0,5.75,0.25,365.0,170.0,628.75
L_AC_20_S_KR_3_E,NOHAB,32,56123,17,0.0,0.0,0.0,18.25,0.0,38.5,16.0,7.75,5.25,0.25,0.0,6.25,0.0,363.0,193.75,649.0
L_AC_20_S_KR_3_E,NOHAB,32,56123,18,0.0,0.0,0.0,16.0,0.0,32.75,18.0,7.25,2.0,0.25,0.0,6.5,0.75,370.25,181.0,634.75
L_AC_20_S_KR_3_E,NOHAB,32,56123,19,0.25,0.0,0.0,13.5,0.0,33.5,18.25,4.75,6.25,0.0,0.0,6.5,1.0,362.0,172.5,618.5
L_AC_20_S_KR_3_E,NOHAB,32,56123,20,0.0,0.0,0.0,11.75,0.0,32.0,14.0,2.5,4.75,0.0,0.0,5.0,0.75,321.25,141.25,533.25
L_AC_20_S_KR_3_E,NOHAB,32,56123,21,0.0,0.0,0.0,13.0,0.0,32.75,18.25,2.75,1.0,0.0,0.0,3.5,0.25,297.25,120.5,489.25
L_AC_20_S_KR_3_E,NOHAB,32,56123,22,0.0,0.0,0.0,7.0,0.0,37.0,15.75,1.75,1.5,0.0,0.0,9.5,0.25,209.5,155.25,437.5
L_AC_20_S_KR_3_E,NOHAB,32,56123,23,0.0,0.0,0.0,3.0,0.0,22.5,9.5,2.25,0.75,0.0,0.0,3.75,0.0,132.75,58.5,233.0
L_AK_72_AC_17,NOHAB,18,27020,0,6.444444444444444,3.722222222222222,0.0,3.1666666666666665,0.0,10.277777777777779,4.444444444444445,19.22222222222222,5.000000000000001,5.722222222222222,3.9444444444444446,9.333333333333334,15.611111111111112,621.2222222222222,67.16666666666667,775.2777777777776
L_AK_72_AC_17,NOHAB,18,27020,1,4.777777777777778,1.0555555555555556,0.0,1.0,0.0,1.611111111111111,0.7777777777777777,15.555555555555555,3.8333333333333335,3.8333333333333335,2.777777777777778,7.333333333333333,9.166666666666666,432.72222222222223,41.94444444444445,526.3888888888889
L_AK_72_AC_17,NOHAB,18,27020,2,6.111111111111111,0.05555555555555555,0.0,1.3333333333333333,0.0,0.7777777777777777,1.4444444444444446,20.38888888888889,8.11111111111111,5.055555555555556,2.777777777777778,7.944444444444444,9.888888888888888,385.22222222222223,32.44444444444444,481.55555555555554
L_AK_72_AC_17,NOHAB,18,27020,3,8.88888888888889,0.2777777777777778,0.0,2.5,0.0,2.1666666666666665,2.944444444444444,24.777777777777782,11.444444444444443,5.833333333333333,3.611111111111111,9.388888888888888,16.38888888888889,438.4444444444444,40.94444444444444,567.6111111111112
L_AK_72_AC_17,NOHAB,18,27020,4,17.72222222222222,0.2222222222222222,0.0,11.222222222222221,0.0,15.666666666666664,12.888888888888888,39.0,20.222222222222225,10.611111111111112,7.777777777777778,18.888888888888886,50.5,473.3888888888889,70.05555555555556,748.1666666666666
L_AK_72_AC_17,NOHAB,18,27020,5,20.38888888888889,0.2777777777777778,0.0,34.666666666666664,0.0,40.05555555555556,44.666666666666664,61.666666666666664,28.0,20.722222222222225,12.055555555555555,29.61111111111111,99.5,810.1666666666666,410.22222222222223,1612.0000000000002
L_AK_72_AC_17,NOHAB,18,27020,6,15.944444444444443,0.1111111111111111,0.0,34.77777777777777,0.0,53.333333333333336,54.833333333333336,97.33333333333333,32.833333333333336,18.333333333333332,11.333333333333334,27.5,116.3888888888889,1310.4444444444443,715.5,2488.6666666666674
L_AK_72_AC_17,NOHAB,18,27020,7,12.611111111111112,0.16666666666666666,0.0,35.833333333333336,0.0,53.88888888888889,48.944444444444436,110.6111111111111,36.44444444444444,18.333333333333332,10.388888888888888,21.944444444444446,109.3888888888889,1657.0555555555554,738.7777777777777,2854.3888888888887
